Building,Neighbourhood,Address,City,Listing,Bed,Bath,SqFt,Price,Pets,Latitude,Longitude,Date,Controlled Access,Fitness Center,Outdoor Space,Residents Lounge,Roof Deck,Storage,Swimming Pool,Air Conditioning,Balcony,Furnished,Hardwood Floor,High Ceilings,In Unit Laundry
20 Samuel Wood Way,Stonegate ,"20 Samuel Wood Way, Toronto, ON M9B 0C8",Toronto,Studio,0,1.0,370,2225,0,43.63526,-79.53992,2023-12-01 11:43:13,1,1,1,1,0,1,0,0,0,0,0,0,0
20 Samuel Wood Way,Stonegate ,"20 Samuel Wood Way, Toronto, ON M9B 0C8",Toronto,1 Bedroom,1,1.0,540,2625,0,43.63526,-79.53992,2023-12-01 11:43:13,1,1,1,1,0,1,0,0,0,0,0,0,0
Liberty House,Liberty Village Apartments,"15 Solidarity Way, Toronto, ON M6K 0G8",Toronto,0 Bedroom 1 Bathroom,0,1.0,328,2196,1,43.63890487721382,-79.41122477808895,2023-12-01 11:43:13,1,1,0,1,0,1,1,0,0,0,0,0,1
Liberty House,Liberty Village Apartments,"15 Solidarity Way, Toronto, ON M6K 0G8",Toronto,0 Bedroom 1 Bathroom,0,1.0,344,2370,1,43.63890487721382,-79.41122477808895,2023-12-01 11:43:13,1,1,0,1,0,1,1,0,0,0,0,0,1
Liberty House,Liberty Village Apartments,"15 Solidarity Way, Toronto, ON M6K 0G8",Toronto,1 Bedroom 1 Bathroom,1,1.0,503,2402,1,43.63890487721382,-79.41122477808895,2023-12-01 11:43:13,1,1,0,1,0,1,1,0,0,0,0,0,1
Liberty House,Liberty Village Apartments,"15 Solidarity Way, Toronto, ON M6K 0G8",Toronto,1 Bedroom 1 Bathroom,1,1.0,563,2460,1,43.63890487721382,-79.41122477808895,2023-12-01 11:43:13,1,1,0,1,0,1,1,0,0,0,0,0,1
Liberty House,Liberty Village Apartments,"15 Solidarity Way, Toronto, ON M6K 0G8",Toronto,1 Bedroom 1 Bathroom,1,1.0,569,2539,1,43.63890487721382,-79.41122477808895,2023-12-01 11:43:13,1,1,0,1,0,1,1,0,0,0,0,0,1
Liberty House,Liberty Village Apartments,"15 Solidarity Way, Toronto, ON M6K 0G8",Toronto,1 Bedroom 1 Bathroom,1,1.0,536,2546,1,43.63890487721382,-79.41122477808895,2023-12-01 11:43:13,1,1,0,1,0,1,1,0,0,0,0,0,1
Liberty House,Liberty Village Apartments,"15 Solidarity Way, Toronto, ON M6K 0G8",Toronto,1 Bedroom 1 Bathroom,1,1.0,580,2565,1,43.63890487721382,-79.41122477808895,2023-12-01 11:43:13,1,1,0,1,0,1,1,0,0,0,0,0,1
Liberty House,Liberty Village Apartments,"15 Solidarity Way, Toronto, ON M6K 0G8",Toronto,1 Bedroom 1 Bathroom,1,1.0,596,2607,1,43.63890487721382,-79.41122477808895,2023-12-01 11:43:13,1,1,0,1,0,1,1,0,0,0,0,0,1
Liberty House,Liberty Village Apartments,"15 Solidarity Way, Toronto, ON M6K 0G8",Toronto,1 Bedroom 1 Bathroom,1,1.0,577,2632,1,43.63890487721382,-79.41122477808895,2023-12-01 11:43:13,1,1,0,1,0,1,1,0,0,0,0,0,1
Liberty House,Liberty Village Apartments,"15 Solidarity Way, Toronto, ON M6K 0G8",Toronto,1 Bedroom 1 Bathroom,1,1.0,608,2639,1,43.63890487721382,-79.41122477808895,2023-12-01 11:43:13,1,1,0,1,0,1,1,0,0,0,0,0,1
Liberty House,Liberty Village Apartments,"15 Solidarity Way, Toronto, ON M6K 0G8",Toronto,2 Bedroom 2 Bathroom,2,2.0,725,3309,1,43.63890487721382,-79.41122477808895,2023-12-01 11:43:13,1,1,0,1,0,1,1,0,0,0,0,0,1
Liberty House,Liberty Village Apartments,"15 Solidarity Way, Toronto, ON M6K 0G8",Toronto,2 Bedroom 2 Bathroom,2,2.0,780,3394,1,43.63890487721382,-79.41122477808895,2023-12-01 11:43:13,1,1,0,1,0,1,1,0,0,0,0,0,1
Liberty House,Liberty Village Apartments,"15 Solidarity Way, Toronto, ON M6K 0G8",Toronto,2 Bedroom 2 Bathroom,2,2.0,779,3429,1,43.63890487721382,-79.41122477808895,2023-12-01 11:43:13,1,1,0,1,0,1,1,0,0,0,0,0,1
40 Alexander Street,The Village Apartments,"40 Alexander St, Toronto, ON M4Y 1B5",Toronto,Renovated Studio,0,1.0,342,2200,1,43.66336124986251,-79.3819078626397,2023-12-01 11:43:13,0,0,0,0,0,1,0,1,0,0,1,0,0
40 Alexander Street,The Village Apartments,"40 Alexander St, Toronto, ON M4Y 1B5",Toronto,1 Bedroom,1,1.0,665,2500,1,43.66336124986251,-79.3819078626397,2023-12-01 11:43:13,0,0,0,0,0,1,0,1,0,0,1,0,0
40 Alexander Street,The Village Apartments,"40 Alexander St, Toronto, ON M4Y 1B5",Toronto,Renovated Deluxe One Bedroom,1,1.0,683,2625,1,43.66336124986251,-79.3819078626397,2023-12-01 11:43:13,0,0,0,0,0,1,0,1,0,0,1,0,0
The Selby,Upper Jarvis Apartments,"25 Selby St, Toronto, ON M4Y 0E6",Toronto,A11 One Bedroom,1,1.0,524,2443,1,43.67135917305433,-79.37653257464821,2023-12-01 11:43:13,1,1,1,1,0,1,1,1,1,0,1,0,1
The Selby,Upper Jarvis Apartments,"25 Selby St, Toronto, ON M4Y 0E6",Toronto,A11 One Bedroom,1,1.0,524,2555,1,43.67135917305433,-79.37653257464821,2023-12-01 11:43:13,1,1,1,1,0,1,1,1,1,0,1,0,1
The Selby,Upper Jarvis Apartments,"25 Selby St, Toronto, ON M4Y 0E6",Toronto,A11 One Bedroom,1,1.0,524,2579,1,43.67135917305433,-79.37653257464821,2023-12-01 11:43:13,1,1,1,1,0,1,1,1,1,0,1,0,1
The Selby,Upper Jarvis Apartments,"25 Selby St, Toronto, ON M4Y 0E6",Toronto,A13 One Bedroom,1,1.0,603,2619,1,43.67135917305433,-79.37653257464821,2023-12-01 11:43:13,1,1,1,1,0,1,1,1,1,0,1,0,1
The Selby,Upper Jarvis Apartments,"25 Selby St, Toronto, ON M4Y 0E6",Toronto,A13 One Bedroom,1,1.0,603,2624,1,43.67135917305433,-79.37653257464821,2023-12-01 11:43:13,1,1,1,1,0,1,1,1,1,0,1,0,1
The Selby,Upper Jarvis Apartments,"25 Selby St, Toronto, ON M4Y 0E6",Toronto,A11 One Bedroom,1,1.0,524,2634,1,43.67135917305433,-79.37653257464821,2023-12-01 11:43:13,1,1,1,1,0,1,1,1,1,0,1,0,1
The Selby,Upper Jarvis Apartments,"25 Selby St, Toronto, ON M4Y 0E6",Toronto,A10 One Bedroom,1,1.0,565,2669,1,43.67135917305433,-79.37653257464821,2023-12-01 11:43:13,1,1,1,1,0,1,1,1,1,0,1,0,1
The Selby,Upper Jarvis Apartments,"25 Selby St, Toronto, ON M4Y 0E6",Toronto,A13 One Bedroom,1,1.0,603,2704,1,43.67135917305433,-79.37653257464821,2023-12-01 11:43:13,1,1,1,1,0,1,1,1,1,0,1,0,1
The Selby,Upper Jarvis Apartments,"25 Selby St, Toronto, ON M4Y 0E6",Toronto,A15 One Bedroom,1,1.0,582,2797,1,43.67135917305433,-79.37653257464821,2023-12-01 11:43:13,1,1,1,1,0,1,1,1,1,0,1,0,1
The Selby,Upper Jarvis Apartments,"25 Selby St, Toronto, ON M4Y 0E6",Toronto,A15 One Bedroom,1,1.0,582,2814,1,43.67135917305433,-79.37653257464821,2023-12-01 11:43:13,1,1,1,1,0,1,1,1,1,0,1,0,1
The Selby,Upper Jarvis Apartments,"25 Selby St, Toronto, ON M4Y 0E6",Toronto,B2 Two Bedroom,2,2.0,821,3263,1,43.67135917305433,-79.37653257464821,2023-12-01 11:43:13,1,1,1,1,0,1,1,1,1,0,1,0,1
The Selby,Upper Jarvis Apartments,"25 Selby St, Toronto, ON M4Y 0E6",Toronto,B6 Two Bedroom,2,2.0,874,3279,1,43.67135917305433,-79.37653257464821,2023-12-01 11:43:13,1,1,1,1,0,1,1,1,1,0,1,0,1
The Selby,Upper Jarvis Apartments,"25 Selby St, Toronto, ON M4Y 0E6",Toronto,B6 Two Bedroom,2,2.0,874,3289,1,43.67135917305433,-79.37653257464821,2023-12-01 11:43:13,1,1,1,1,0,1,1,1,1,0,1,0,1
The Selby,Upper Jarvis Apartments,"25 Selby St, Toronto, ON M4Y 0E6",Toronto,B5 Two Bedroom,2,2.0,868,3390,1,43.67135917305433,-79.37653257464821,2023-12-01 11:43:13,1,1,1,1,0,1,1,1,1,0,1,0,1
The Selby,Upper Jarvis Apartments,"25 Selby St, Toronto, ON M4Y 0E6",Toronto,B5 Two Bedroom,2,2.0,868,3399,1,43.67135917305433,-79.37653257464821,2023-12-01 11:43:13,1,1,1,1,0,1,1,1,1,0,1,0,1
The Selby,Upper Jarvis Apartments,"25 Selby St, Toronto, ON M4Y 0E6",Toronto,B2 Two Bedroom,2,2.0,821,3412,1,43.67135917305433,-79.37653257464821,2023-12-01 11:43:13,1,1,1,1,0,1,1,1,1,0,1,0,1
The Selby,Upper Jarvis Apartments,"25 Selby St, Toronto, ON M4Y 0E6",Toronto,B2 Two Bedroom,2,2.0,821,3412,1,43.67135917305433,-79.37653257464821,2023-12-01 11:43:13,1,1,1,1,0,1,1,1,1,0,1,0,1
The Selby,Upper Jarvis Apartments,"25 Selby St, Toronto, ON M4Y 0E6",Toronto,B6 Two Bedroom,2,2.0,874,3422,1,43.67135917305433,-79.37653257464821,2023-12-01 11:43:13,1,1,1,1,0,1,1,1,1,0,1,0,1
The Selby,Upper Jarvis Apartments,"25 Selby St, Toronto, ON M4Y 0E6",Toronto,B6 Two Bedroom,2,2.0,874,3432,1,43.67135917305433,-79.37653257464821,2023-12-01 11:43:13,1,1,1,1,0,1,1,1,1,0,1,0,1
The Selby,Upper Jarvis Apartments,"25 Selby St, Toronto, ON M4Y 0E6",Toronto,B5 Two Bedroom,2,2.0,868,3527,1,43.67135917305433,-79.37653257464821,2023-12-01 11:43:13,1,1,1,1,0,1,1,1,1,0,1,0,1
The Selby,Upper Jarvis Apartments,"25 Selby St, Toronto, ON M4Y 0E6",Toronto,B4 Two Bedroom,2,2.0,863,3582,1,43.67135917305433,-79.37653257464821,2023-12-01 11:43:13,1,1,1,1,0,1,1,1,1,0,1,0,1
The Selby,Upper Jarvis Apartments,"25 Selby St, Toronto, ON M4Y 0E6",Toronto,B4 Two Bedroom,2,2.0,863,3592,1,43.67135917305433,-79.37653257464821,2023-12-01 11:43:13,1,1,1,1,0,1,1,1,1,0,1,0,1
The Selby,Upper Jarvis Apartments,"25 Selby St, Toronto, ON M4Y 0E6",Toronto,B3 Two Bedroom,2,2.0,863,3652,1,43.67135917305433,-79.37653257464821,2023-12-01 11:43:13,1,1,1,1,0,1,1,1,1,0,1,0,1
The Selby,Upper Jarvis Apartments,"25 Selby St, Toronto, ON M4Y 0E6",Toronto,B3 Two Bedroom,2,2.0,863,3652,1,43.67135917305433,-79.37653257464821,2023-12-01 11:43:13,1,1,1,1,0,1,1,1,1,0,1,0,1
The Selby,Upper Jarvis Apartments,"25 Selby St, Toronto, ON M4Y 0E6",Toronto,B2 Two Bedroom,2,2.0,821,3657,1,43.67135917305433,-79.37653257464821,2023-12-01 11:43:13,1,1,1,1,0,1,1,1,1,0,1,0,1
The Selby,Upper Jarvis Apartments,"25 Selby St, Toronto, ON M4Y 0E6",Toronto,B4 Two Bedroom,2,2.0,863,3842,1,43.67135917305433,-79.37653257464821,2023-12-01 11:43:13,1,1,1,1,0,1,1,1,1,0,1,0,1
The Selby,Upper Jarvis Apartments,"25 Selby St, Toronto, ON M4Y 0E6",Toronto,C3 Three Bedroom,3,2.0,1093,4754,1,43.67135917305433,-79.37653257464821,2023-12-01 11:43:13,1,1,1,1,0,1,1,1,1,0,1,0,1
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,A3 One Bedroom,1,1.0,507,2564,1,43.65162672443693,-79.3558931318249,2023-12-01 11:43:13,0,1,0,1,0,0,1,1,0,0,1,0,1
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,A1 One Bedroom,1,1.0,483,2594,1,43.65162672443693,-79.3558931318249,2023-12-01 11:43:13,0,1,0,1,0,0,1,1,0,0,1,0,1
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,A1 One Bedroom,1,1.0,483,2594,1,43.65162672443693,-79.3558931318249,2023-12-01 11:43:13,0,1,0,1,0,0,1,1,0,0,1,0,1
Maple House at Canary Landing,West Don Lands Apartments,"131 Mill St, Toronto, ON M5A 2Z8",Toronto,A1 One Bedroom,1,1.0,483,2594,1,43.65162672443693,-79.3558931318249,2023-12-01 11:43:13,0,1,0,1,0,0,1,1,0,0,1,0,1
