,Building,Neighbourhood,Address,City,Listing,Bed,Bath,SqFt,Min Price,Max Price,Price,Pets,Controlled Access,Fitness Center,Outdoor Space,Residents Lounge,Roof Deck,Storage,Swimming Pool,Air Conditioning,Balcony,Furnished,Hardwood Floor,High Ceilings,In Unit Laundry,Date,Latitude,Longitude,Url
163,The Hollies,South Granville Apartments,"6450 East Boulevard, Vancouver, BC V6M 3V9",Vancouver,1 Bedroom,1,1.0,556,2100,2100,2100.0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,2024-04-19 04:59:19.228,49.2276320978384,-123.1546743313138,https://www.padmapper.com/buildings/p224228/the-hollies-apartments-at-6450-east-boulevard-vancouver-bc-v6m-3v9
164,The Hollies,South Granville Apartments,"6450 East Boulevard, Vancouver, BC V6M 3V9",Vancouver,3 Bedroom,3,2.0,1244,4150,4150,4150.0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,2024-04-19 04:59:19.228,49.2276320978384,-123.1546743313138,https://www.padmapper.com/buildings/p224228/the-hollies-apartments-at-6450-east-boulevard-vancouver-bc-v6m-3v9
165,1320 Bute Street,West End Apartments,"1320 Bute St, Vancouver, BC V6E 2A3",Vancouver,Studio,0,1.0,464,2301,2486,2393.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2024-04-19 04:59:19.228,49.28057269507948,-123.1350747791841,https://www.padmapper.com/buildings/p872529/apartments-at-1320-bute-st-vancouver-bc-v6e-2a3
166,1320 Bute Street,West End Apartments,"1320 Bute St, Vancouver, BC V6E 2A3",Vancouver,1 Bedroom,1,1.0,506,2794,2794,2794.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2024-04-19 04:59:19.228,49.28057269507948,-123.1350747791841,https://www.padmapper.com/buildings/p872529/apartments-at-1320-bute-st-vancouver-bc-v6e-2a3
167,The Florida ,West End Apartments,"1170 Barclay St, Vancouver, BC V6E 1H1",Vancouver,Luxury,0,1.0,400,2675,2850,2762.5,1,1,0,1,0,0,1,0,0,1,1,1,0,1,2024-04-19 04:59:19.228,49.28446682431242,-123.1290443830871,https://www.padmapper.com/buildings/p528696/the-florida-1170-barclay-apartments-at-1170-barclay-st-vancouver-bc-v6e-1h1
168,The Florida ,West End Apartments,"1170 Barclay St, Vancouver, BC V6E 1H1",Vancouver,Penthouse,0,1.0,415,2875,2900,2887.5,1,1,0,1,0,0,1,0,0,1,1,1,0,1,2024-04-19 04:59:19.228,49.28446682431242,-123.1290443830871,https://www.padmapper.com/buildings/p528696/the-florida-1170-barclay-apartments-at-1170-barclay-st-vancouver-bc-v6e-1h1
169,The Florida ,West End Apartments,"1170 Barclay St, Vancouver, BC V6E 1H1",Vancouver,Luxury,1,2.0,541,2800,3690,3245.0,1,1,0,1,0,0,1,0,0,1,1,1,0,1,2024-04-19 04:59:19.228,49.28446682431242,-123.1290443830871,https://www.padmapper.com/buildings/p528696/the-florida-1170-barclay-apartments-at-1170-barclay-st-vancouver-bc-v6e-1h1
170,The Florida ,West End Apartments,"1170 Barclay St, Vancouver, BC V6E 1H1",Vancouver,Penthouse,1,2.0,616,3300,3690,3495.0,1,1,0,1,0,0,1,0,0,1,1,1,0,1,2024-04-19 04:59:19.228,49.28446682431242,-123.1290443830871,https://www.padmapper.com/buildings/p528696/the-florida-1170-barclay-apartments-at-1170-barclay-st-vancouver-bc-v6e-1h1
171,The Florida ,West End Apartments,"1170 Barclay St, Vancouver, BC V6E 1H1",Vancouver,Luxury,2,2.0,690,3775,3990,3882.5,1,1,0,1,0,0,1,0,0,1,1,1,0,1,2024-04-19 04:59:19.228,49.28446682431242,-123.1290443830871,https://www.padmapper.com/buildings/p528696/the-florida-1170-barclay-apartments-at-1170-barclay-st-vancouver-bc-v6e-1h1
172,Park Beach Manor  ,West End Apartments,"1925 Nelson St, Vancouver, BC V6G 1N3",Vancouver,Apartment,1,1.0,540,2600,2675,2637.5,1,0,0,0,0,0,1,0,0,0,1,1,0,0,2024-04-19 04:59:19.228,49.29068707156602,-123.1405404484719,https://www.padmapper.com/buildings/p1106594/park-beach-manor-1925-nelson-apartments-at-1925-nelson-st-vancouver-bc-v6g-1n3
173,Park Beach Manor  ,West End Apartments,"1925 Nelson St, Vancouver, BC V6G 1N3",Vancouver,Apartment,2,1.0,540,2890,3600,3245.0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,2024-04-19 04:59:19.228,49.29068707156602,-123.1405404484719,https://www.padmapper.com/buildings/p1106594/park-beach-manor-1925-nelson-apartments-at-1925-nelson-st-vancouver-bc-v6g-1n3
174,The Normandie ,West End Apartments,"1425 Haro St, Vancouver, BC V6G 1G2",Vancouver,Low Rise Apartment,0,1.0,259,2450,2550,2500.0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,2024-04-19 04:59:19.228,49.28747388765547,-123.131272296171,https://www.padmapper.com/buildings/p531993/the-normandie-1425-haro-apartments-at-1425-haro-st-vancouver-bc-v6g-1g2
175,The Normandie ,West End Apartments,"1425 Haro St, Vancouver, BC V6G 1G2",Vancouver,Low Rise Apartment,1,1.0,480,2490,2750,2620.0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,2024-04-19 04:59:19.228,49.28747388765547,-123.131272296171,https://www.padmapper.com/buildings/p531993/the-normandie-1425-haro-apartments-at-1425-haro-st-vancouver-bc-v6g-1g2
176,The Normandie ,West End Apartments,"1425 Haro St, Vancouver, BC V6G 1G2",Vancouver,Low Rise Apartment,2,1.0,512,3300,3590,3445.0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,2024-04-19 04:59:19.228,49.28747388765547,-123.131272296171,https://www.padmapper.com/buildings/p531993/the-normandie-1425-haro-apartments-at-1425-haro-st-vancouver-bc-v6g-1g2
177,The Normandie ,West End Apartments,"1425 Haro St, Vancouver, BC V6G 1G2",Vancouver,Low Rise Apartment,2,2.0,578,3490,3650,3570.0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,2024-04-19 04:59:19.228,49.28747388765547,-123.131272296171,https://www.padmapper.com/buildings/p531993/the-normandie-1425-haro-apartments-at-1425-haro-st-vancouver-bc-v6g-1g2
178,The Normandie ,West End Apartments,"1425 Haro St, Vancouver, BC V6G 1G2",Vancouver,Low Rise Apartment,3,2.0,754,4450,4900,4675.0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,2024-04-19 04:59:19.228,49.28747388765547,-123.131272296171,https://www.padmapper.com/buildings/p531993/the-normandie-1425-haro-apartments-at-1425-haro-st-vancouver-bc-v6g-1g2
179,Modern,West End Apartments,"1009 Harwood St, Vancouver, BC V6E 0C2",Vancouver,Condos,1,1.0,490,2875,2950,2912.5,1,0,1,1,0,0,1,0,1,1,1,1,0,1,2024-04-19 04:59:19.228,49.27783793802332,-123.1314156991906,https://www.padmapper.com/buildings/p513254/modern-apartments-at-1009-harwood-st-vancouver-bc-v6e-0c2
180,Modern,West End Apartments,"1009 Harwood St, Vancouver, BC V6E 0C2",Vancouver,Condos,2,1.0,733,3700,3700,3700.0,1,0,1,1,0,0,1,0,1,1,1,1,0,1,2024-04-19 04:59:19.228,49.27783793802332,-123.1314156991906,https://www.padmapper.com/buildings/p513254/modern-apartments-at-1009-harwood-st-vancouver-bc-v6e-0c2
181,1005 Jervis Street,West End Apartments,"1005 Jervis St, Vancouver, BC V6E 3T1",Vancouver,Vancouver 1 Bedroom,1,1.0,436,2600,2600,2600.0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,2024-04-19 04:59:19.228,49.28489604231831,-123.1318938661225,https://www.padmapper.com/buildings/p221691/apartments-at-1005-jervis-st-vancouver-bc-v6e-3t1
182,1005 Jervis Street,West End Apartments,"1005 Jervis St, Vancouver, BC V6E 3T1",Vancouver,Vancouver 2 Bedroom,2,1.0,737,3723,3723,3723.0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,2024-04-19 04:59:19.228,49.28489604231831,-123.1318938661225,https://www.padmapper.com/buildings/p221691/apartments-at-1005-jervis-st-vancouver-bc-v6e-3t1
183,1918 York Ave,Kitsilano Apartments,"1918 York Ave, Vancouver, BC V6J 1E3",Vancouver,One Bedroom 102,1,1.0,560,2700,2700,2700.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,2024-04-19 04:59:19.228,49.27154273730451,-123.1485176380003,https://www.padmapper.com/buildings/p561030/apartments-at-1918-york-ave-vancouver-bc-v6j-1e3
184,1918 York Ave,Kitsilano Apartments,"1918 York Ave, Vancouver, BC V6J 1E3",Vancouver,Two Berdoom 204,2,1.0,800,3500,3500,3500.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,2024-04-19 04:59:19.228,49.27154273730451,-123.1485176380003,https://www.padmapper.com/buildings/p561030/apartments-at-1918-york-ave-vancouver-bc-v6j-1e3
185,8616 Oak Street,Marpole Apartments,"8616 Oak St, Vancouver, BC V6P 4B3",Vancouver,Studio,0,1.0,510,2435,2435,2435.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-19 04:59:19.228,49.20814245257299,-123.1301871193155,https://www.padmapper.com/buildings/p633202/apartments-at-8616-oak-st-vancouver-bc-v6p-4b3
186,8616 Oak Street,Marpole Apartments,"8616 Oak St, Vancouver, BC V6P 4B3",Vancouver,2 Bedroom,2,1.0,691,2999,2999,2999.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-19 04:59:19.228,49.20814245257299,-123.1301871193155,https://www.padmapper.com/buildings/p633202/apartments-at-8616-oak-st-vancouver-bc-v6p-4b3
187,1348 Barclay Street,West End Apartments,"1348 Barclay St, Vancouver, BC V6E 1H7",Vancouver,Studio,0,1.0,445,2601,2696,2648.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2024-04-19 04:59:19.228,49.28624123486091,-123.1317609280954,https://www.padmapper.com/buildings/p602868/apartments-at-1348-barclay-st-vancouver-bc-v6e-1h7
188,1348 Barclay Street,West End Apartments,"1348 Barclay St, Vancouver, BC V6E 1H7",Vancouver,1 Bedroom,1,1.0,580,2863,3000,2931.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2024-04-19 04:59:19.228,49.28624123486091,-123.1317609280954,https://www.padmapper.com/buildings/p602868/apartments-at-1348-barclay-st-vancouver-bc-v6e-1h7
189,1348 Barclay Street,West End Apartments,"1348 Barclay St, Vancouver, BC V6E 1H7",Vancouver,2 Bedroom,2,1.0,774,3463,3463,3463.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2024-04-19 04:59:19.228,49.28624123486091,-123.1317609280954,https://www.padmapper.com/buildings/p602868/apartments-at-1348-barclay-st-vancouver-bc-v6e-1h7
190,Pacific Palisades,West End Apartments,"788 Jervis St, Vancouver, BC V6E 0B5",Vancouver,1 Bedroom - ocean/city view,1,1.0,602,2650,2650,2650.0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,2024-04-19 04:59:19.228,49.28720262288403,-123.1281339601219,https://www.padmapper.com/buildings/p469624/pacific-palisades-apartments-at-788-jervis-st-vancouver-bc-v6e-0b5
191,Pacific Palisades,West End Apartments,"788 Jervis St, Vancouver, BC V6E 0B5",Vancouver,1 Bedroom - city view,1,1.0,602,2685,2685,2685.0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,2024-04-19 04:59:19.228,49.28720262288403,-123.1281339601219,https://www.padmapper.com/buildings/p469624/pacific-palisades-apartments-at-788-jervis-st-vancouver-bc-v6e-0b5
192,Pacific Palisades,West End Apartments,"788 Jervis St, Vancouver, BC V6E 0B5",Vancouver,1 Bedroom Penthouse - ocean view,1,1.0,840,3350,3350,3350.0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,2024-04-19 04:59:19.228,49.28720262288403,-123.1281339601219,https://www.padmapper.com/buildings/p469624/pacific-palisades-apartments-at-788-jervis-st-vancouver-bc-v6e-0b5
193,1200 Hornby Street,Downtown Vancouver Apartments,"1200 Hornby St, Vancouver, BC V6Z 1W2",Vancouver,2 Bedroom,2,1.0,788,3669,4099,3884.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-19 04:59:19.228,49.27831269154199,-123.128144727767,https://www.padmapper.com/buildings/p513898/apartments-at-1200-hornby-st-vancouver-bc-v6z-1w2
194,1200 Hornby Street,Downtown Vancouver Apartments,"1200 Hornby St, Vancouver, BC V6Z 1W2",Vancouver,2 Bedroom Large,2,2.0,1453,6685,6685,6685.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-19 04:59:19.228,49.27831269154199,-123.128144727767,https://www.padmapper.com/buildings/p513898/apartments-at-1200-hornby-st-vancouver-bc-v6z-1w2
195,1200 Hornby Street,Downtown Vancouver Apartments,"1200 Hornby St, Vancouver, BC V6Z 1W2",Vancouver,2 Bedroom Large,2,2.5,1514,6855,6855,6855.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-19 04:59:19.228,49.27831269154199,-123.128144727767,https://www.padmapper.com/buildings/p513898/apartments-at-1200-hornby-st-vancouver-bc-v6z-1w2
196,Hub Place,Grandview,"1649 Broadway E, Vancouver, BC V5N 0J4",Vancouver,"1 Bdrm available at 1649 E Broadway, Vancouver",1,1.0,486,2440,2440,2440.0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,2024-04-19 04:59:19.228,49.26240295254206,-123.0711750454433,https://www.padmapper.com/buildings/p808292/hub-place-apartments-at-1649-broadway-e-vancouver-bc-v5n-0j4
197,Hub Place,Grandview,"1649 Broadway E, Vancouver, BC V5N 0J4",Vancouver,"2 Bdrm available at 1649 E Broadway, Vancouver",2,1.0,682,3425,3425,3425.0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,2024-04-19 04:59:19.228,49.26240295254206,-123.0711750454433,https://www.padmapper.com/buildings/p808292/hub-place-apartments-at-1649-broadway-e-vancouver-bc-v5n-0j4
198,The Standard,Downtown Vancouver Apartments,"1142 Granville St, Vancouver, BC V6Z 0B5",Vancouver,Studio,0,1.0,320,2095,2095,2095.0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,2024-04-19 04:59:19.228,49.27769391115594,-123.1252359252485,https://www.padmapper.com/buildings/p426759/the-standard-apartments-at-1142-granville-st-vancouver-bc-v6z-0b5
199,The Standard,Downtown Vancouver Apartments,"1142 Granville St, Vancouver, BC V6Z 0B5",Vancouver,Studio,0,1.0,320,2150,2150,2150.0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,2024-04-19 04:59:19.228,49.27769391115594,-123.1252359252485,https://www.padmapper.com/buildings/p426759/the-standard-apartments-at-1142-granville-st-vancouver-bc-v6z-0b5
200,Laurel,Marpole Apartments,"8605 Laurel St, Vancouver, BC V6P 0K4",Vancouver,1 Bedroom,1,1.0,450,2250,2250,2250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-19 04:59:19.228,49.20836733449659,-123.1262451669594,https://www.padmapper.com/buildings/p871855/laurel-apartments-at-8605-laurel-st-vancouver-bc-v6p-0k4
201,Laurel,Marpole Apartments,"8605 Laurel St, Vancouver, BC V6P 0K4",Vancouver,623-1 Bedroom,1,1.0,450,2300,2300,2300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-19 04:59:19.228,49.20836733449659,-123.1262451669594,https://www.padmapper.com/buildings/p871855/laurel-apartments-at-8605-laurel-st-vancouver-bc-v6p-0k4
202,Keel,Killarney Apartments,"8690 Jack Uppal St, Vancouver, BC V5S 0K1",Vancouver,2 Bed + 2 Bath,2,2.0,778,2995,2995,2995.0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,2024-04-19 04:59:19.228,49.2044123,-123.0340917,https://www.padmapper.com/buildings/p1013394/keel-apartments-at-8690-jack-uppal-st-vancouver-bc-v5s-0k1
203,Keel,Killarney Apartments,"8690 Jack Uppal St, Vancouver, BC V5S 0K1",Vancouver,3 Bed + 2 Bath + Den,3,2.0,1074,3775,3775,3775.0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,2024-04-19 04:59:19.228,49.2044123,-123.0340917,https://www.padmapper.com/buildings/p1013394/keel-apartments-at-8690-jack-uppal-st-vancouver-bc-v5s-0k1
204,Beach Towers,West End Apartments,"1600L Beach Ave, Vancouver, BC V6G 1Y6",Vancouver,1 Bedroom Pet Friendly,1,1.0,414,2395,2395,2395.0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,2024-04-19 04:59:19.228,49.28311821198761,-123.1419709658091,https://www.padmapper.com/buildings/p329044/beach-towers-apartments-at-1600l-beach-ave-vancouver-bc-v6g-1y6
205,Beach Towers,West End Apartments,"1600L Beach Ave, Vancouver, BC V6G 1Y6",Vancouver,1 Bedroom,1,1.0,450,2400,2400,2400.0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,2024-04-19 04:59:19.228,49.28311821198761,-123.1419709658091,https://www.padmapper.com/buildings/p329044/beach-towers-apartments-at-1600l-beach-ave-vancouver-bc-v6g-1y6
206,Beach Towers,West End Apartments,"1600L Beach Ave, Vancouver, BC V6G 1Y6",Vancouver,Large 1 Bedroom,1,1.0,553,2595,2595,2595.0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,2024-04-19 04:59:19.228,49.28311821198761,-123.1419709658091,https://www.padmapper.com/buildings/p329044/beach-towers-apartments-at-1600l-beach-ave-vancouver-bc-v6g-1y6
207,Beach Towers,West End Apartments,"1600L Beach Ave, Vancouver, BC V6G 1Y6",Vancouver,2 Bedroom Pet Friendly,2,1.5,817,3700,3700,3700.0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,2024-04-19 04:59:19.228,49.28311821198761,-123.1419709658091,https://www.padmapper.com/buildings/p329044/beach-towers-apartments-at-1600l-beach-ave-vancouver-bc-v6g-1y6
208,Beach Towers,West End Apartments,"1600L Beach Ave, Vancouver, BC V6G 1Y6",Vancouver,2 Bedroom,2,1.5,862,3800,3800,3800.0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,2024-04-19 04:59:19.228,49.28311821198761,-123.1419709658091,https://www.padmapper.com/buildings/p329044/beach-towers-apartments-at-1600l-beach-ave-vancouver-bc-v6g-1y6
209,The Riley,Riley Park ,"181 East 32nd Ave, Vancouver, BC V5V None",Vancouver,Jr. One Bed,1,1.0,410,2395,2395,2395.0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,2024-04-19 04:59:19.228,49.24206436972395,-123.101713605157,https://www.padmapper.com/buildings/p972948/the-riley-apartments-at-181-east-32nd-ave-vancouver-bc-v5v-none
210,The Riley,Riley Park ,"181 East 32nd Ave, Vancouver, BC V5V None",Vancouver,One Bed,1,1.0,544,2850,2850,2850.0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,2024-04-19 04:59:19.228,49.24206436972395,-123.101713605157,https://www.padmapper.com/buildings/p972948/the-riley-apartments-at-181-east-32nd-ave-vancouver-bc-v5v-none
211,2301 Main Street,Mt,"2301 Main St, Vancouver, BC V5T 3C9",Vancouver,2301 Main Street,1,1.0,650,2290,2290,2290.0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,2024-04-19 04:59:19.228,49.264565,-123.1010864690634,https://www.padmapper.com/buildings/p1043424/apartments-at-2301-main-st-vancouver-bc-v5t-3c9
212,2301 Main Street,Mt,"2301 Main St, Vancouver, BC V5T 3C9",Vancouver,2301 Main St,2,1.0,950,2930,2930,2930.0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,2024-04-19 04:59:19.228,49.264565,-123.1010864690634,https://www.padmapper.com/buildings/p1043424/apartments-at-2301-main-st-vancouver-bc-v5t-3c9
213,Arbutus Residences,Quilchena Apartments,"4188 Yew St, Vancouver, BC V6L 0C1",Vancouver,Studio,0,1.0,450,2500,2500,2500.0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,2024-04-19 04:59:19.228,49.25038390249504,-123.1555162078964,https://www.padmapper.com/buildings/p561687/arbutus-residences-apartments-at-4188-yew-st-vancouver-bc-v6l-0c1
214,Arbutus Residences,Quilchena Apartments,"4188 Yew St, Vancouver, BC V6L 0C1",Vancouver,One-Bedroom,1,1.0,685,3155,3155,3155.0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,2024-04-19 04:59:19.228,49.25038390249504,-123.1555162078964,https://www.padmapper.com/buildings/p561687/arbutus-residences-apartments-at-4188-yew-st-vancouver-bc-v6l-0c1
215,Arbutus Residences,Quilchena Apartments,"4188 Yew St, Vancouver, BC V6L 0C1",Vancouver,One-Bedroom (Unit 531),1,1.0,725,3410,3410,3410.0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,2024-04-19 04:59:19.228,49.25038390249504,-123.1555162078964,https://www.padmapper.com/buildings/p561687/arbutus-residences-apartments-at-4188-yew-st-vancouver-bc-v6l-0c1
216,Arbutus Residences,Quilchena Apartments,"4188 Yew St, Vancouver, BC V6L 0C1",Vancouver,Two-Bedroom (2),2,2.0,1000,4035,4035,4035.0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,2024-04-19 04:59:19.228,49.25038390249504,-123.1555162078964,https://www.padmapper.com/buildings/p561687/arbutus-residences-apartments-at-4188-yew-st-vancouver-bc-v6l-0c1
217,Arbutus Residences,Quilchena Apartments,"4188 Yew St, Vancouver, BC V6L 0C1",Vancouver,Two-Bedroom (Unit 712),2,2.0,980,4045,4045,4045.0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,2024-04-19 04:59:19.228,49.25038390249504,-123.1555162078964,https://www.padmapper.com/buildings/p561687/arbutus-residences-apartments-at-4188-yew-st-vancouver-bc-v6l-0c1
218,Arbutus Residences,Quilchena Apartments,"4188 Yew St, Vancouver, BC V6L 0C1",Vancouver,Two-Bedroom (Unit 811),2,2.0,990,4120,4120,4120.0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,2024-04-19 04:59:19.228,49.25038390249504,-123.1555162078964,https://www.padmapper.com/buildings/p561687/arbutus-residences-apartments-at-4188-yew-st-vancouver-bc-v6l-0c1
219,Arbutus Residences,Quilchena Apartments,"4188 Yew St, Vancouver, BC V6L 0C1",Vancouver,Two-Bedroom (Unit 703),2,1.0,735,4195,4195,4195.0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,2024-04-19 04:59:19.228,49.25038390249504,-123.1555162078964,https://www.padmapper.com/buildings/p561687/arbutus-residences-apartments-at-4188-yew-st-vancouver-bc-v6l-0c1
220,Arbutus Residences,Quilchena Apartments,"4188 Yew St, Vancouver, BC V6L 0C1",Vancouver,Three-Bedroom,3,2.0,1100,4850,4850,4850.0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,2024-04-19 04:59:19.228,49.25038390249504,-123.1555162078964,https://www.padmapper.com/buildings/p561687/arbutus-residences-apartments-at-4188-yew-st-vancouver-bc-v6l-0c1
221,Arbutus Residences,Quilchena Apartments,"4188 Yew St, Vancouver, BC V6L 0C1",Vancouver,Three-Bedroom (Unit 709),3,2.0,1090,5995,5995,5995.0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,2024-04-19 04:59:19.228,49.25038390249504,-123.1555162078964,https://www.padmapper.com/buildings/p561687/arbutus-residences-apartments-at-4188-yew-st-vancouver-bc-v6l-0c1
222,Arbutus Residences,Quilchena Apartments,"4188 Yew St, Vancouver, BC V6L 0C1",Vancouver,Penthouse,4,3.0,2220,10895,10895,10895.0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,2024-04-19 04:59:19.228,49.25038390249504,-123.1555162078964,https://www.padmapper.com/buildings/p561687/arbutus-residences-apartments-at-4188-yew-st-vancouver-bc-v6l-0c1
223,Viridian,Fairview Apartments,"1783 14th Ave W, Vancouver, BC V6J 2J7",Vancouver,Residence One,1,1.0,432,2670,2770,2720.0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,2024-04-19 04:59:19.228,49.2590822107,-123.145105601,https://www.padmapper.com/buildings/p510456/viridian-apartments-at-1783-14th-ave-w-vancouver-bc-v6j-2j7
224,Viridian,Fairview Apartments,"1783 14th Ave W, Vancouver, BC V6J 2J7",Vancouver,Penthouse Residence One,1,1.0,432,2970,2970,2970.0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,2024-04-19 04:59:19.228,49.2590822107,-123.145105601,https://www.padmapper.com/buildings/p510456/viridian-apartments-at-1783-14th-ave-w-vancouver-bc-v6j-2j7
225,Viridian,Fairview Apartments,"1783 14th Ave W, Vancouver, BC V6J 2J7",Vancouver,Residence Two,1,1.0,543,2990,2990,2990.0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,2024-04-19 04:59:19.228,49.2590822107,-123.145105601,https://www.padmapper.com/buildings/p510456/viridian-apartments-at-1783-14th-ave-w-vancouver-bc-v6j-2j7
226,Viridian,Fairview Apartments,"1783 14th Ave W, Vancouver, BC V6J 2J7",Vancouver,Residence Three,2,1.0,699,3385,3385,3385.0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,2024-04-19 04:59:19.228,49.2590822107,-123.145105601,https://www.padmapper.com/buildings/p510456/viridian-apartments-at-1783-14th-ave-w-vancouver-bc-v6j-2j7
227,BLUESKY Chinatown,Strathcona Apartments,"183 Georgia St E, Vancouver, BC V6A 0E5",Vancouver,A1,0,1.0,367,2095,2150,2122.5,1,1,1,1,0,0,1,0,0,1,0,0,0,1,2024-04-19 04:59:19.228,49.2796468,-123.1007584,https://www.padmapper.com/buildings/p427023/bluesky-chinatown-apartments-at-183-georgia-st-e-vancouver-bc-v6a-0e5
228,BLUESKY Chinatown,Strathcona Apartments,"183 Georgia St E, Vancouver, BC V6A 0E5",Vancouver,B2,1,1.0,476,2295,2295,2295.0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,2024-04-19 04:59:19.228,49.2796468,-123.1007584,https://www.padmapper.com/buildings/p427023/bluesky-chinatown-apartments-at-183-georgia-st-e-vancouver-bc-v6a-0e5
229,BLUESKY Chinatown,Strathcona Apartments,"183 Georgia St E, Vancouver, BC V6A 0E5",Vancouver,C4,1,1.0,557,2395,2395,2395.0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,2024-04-19 04:59:19.228,49.2796468,-123.1007584,https://www.padmapper.com/buildings/p427023/bluesky-chinatown-apartments-at-183-georgia-st-e-vancouver-bc-v6a-0e5
230,BLUESKY Chinatown,Strathcona Apartments,"183 Georgia St E, Vancouver, BC V6A 0E5",Vancouver,C3,1,1.0,555,2450,2450,2450.0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,2024-04-19 04:59:19.228,49.2796468,-123.1007584,https://www.padmapper.com/buildings/p427023/bluesky-chinatown-apartments-at-183-georgia-st-e-vancouver-bc-v6a-0e5
231,BLUESKY Chinatown,Strathcona Apartments,"183 Georgia St E, Vancouver, BC V6A 0E5",Vancouver,B4,1,1.0,537,2495,2495,2495.0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,2024-04-19 04:59:19.228,49.2796468,-123.1007584,https://www.padmapper.com/buildings/p427023/bluesky-chinatown-apartments-at-183-georgia-st-e-vancouver-bc-v6a-0e5
232,BLUESKY Chinatown,Strathcona Apartments,"183 Georgia St E, Vancouver, BC V6A 0E5",Vancouver,D3,2,1.0,843,3350,3350,3350.0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,2024-04-19 04:59:19.228,49.2796468,-123.1007584,https://www.padmapper.com/buildings/p427023/bluesky-chinatown-apartments-at-183-georgia-st-e-vancouver-bc-v6a-0e5
233,BLUESKY Chinatown,Strathcona Apartments,"183 Georgia St E, Vancouver, BC V6A 0E5",Vancouver,D5,2,1.0,850,3450,3450,3450.0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,2024-04-19 04:59:19.228,49.2796468,-123.1007584,https://www.padmapper.com/buildings/p427023/bluesky-chinatown-apartments-at-183-georgia-st-e-vancouver-bc-v6a-0e5
