,Building,Neighbourhood,Address,City,Listing,Bed,Bath,SqFt,Min Price,Max Price,Price,Pets,Controlled Access,Fitness Center,Outdoor Space,Residents Lounge,Roof Deck,Storage,Swimming Pool,Air Conditioning,Balcony,Furnished,Hardwood Floor,High Ceilings,In Unit Laundry,Date,Latitude,Longitude,Url
15,Zephyr,West End Apartments,"1661 Davie St, Vancouver, BC V6G 1W1",Vancouver,2 Bedroom,2,2.0,918,4495,4495,4495.0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,2024-04-19 04:59:19.228,49.2859436857437,-123.1396312426963,https://www.padmapper.com/buildings/p220470/zephyr-apartments-at-1661-davie-st-vancouver-bc-v6g-1w1
16,1770 Pendrell by Westbank,West End Apartments,"1770 Pendrell St, Vancouver, BC V6G 0C5",Vancouver,Unit 505 - 1BR + 1BA + Balcony,0,1.0,440,2695,2695,2695.0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,2024-04-19 04:59:19.228,49.28769494521273,-123.140470128546,https://www.padmapper.com/buildings/p431969/apartments-at-1770-pendrell-st-vancouver-bc-v6g-0c5
17,1770 Pendrell by Westbank,West End Apartments,"1770 Pendrell St, Vancouver, BC V6G 0C5",Vancouver,Unit 1903 - 1BR + 1BA + Balcony,1,1.0,650,3300,3300,3300.0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,2024-04-19 04:59:19.228,49.28769494521273,-123.140470128546,https://www.padmapper.com/buildings/p431969/apartments-at-1770-pendrell-st-vancouver-bc-v6g-0c5
18,1770 Pendrell by Westbank,West End Apartments,"1770 Pendrell St, Vancouver, BC V6G 0C5",Vancouver,Unit 101 - 2BR + 2BA + Balcony,2,2.0,820,4125,4125,4125.0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,2024-04-19 04:59:19.228,49.28769494521273,-123.140470128546,https://www.padmapper.com/buildings/p431969/apartments-at-1770-pendrell-st-vancouver-bc-v6g-0c5
19,1770 Pendrell by Westbank,West End Apartments,"1770 Pendrell St, Vancouver, BC V6G 0C5",Vancouver,Unit 1605 - 3BR + 2BA + Flex + Balcony,3,2.0,990,4995,4995,4995.0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,2024-04-19 04:59:19.228,49.28769494521273,-123.140470128546,https://www.padmapper.com/buildings/p431969/apartments-at-1770-pendrell-st-vancouver-bc-v6g-0c5
20,Royal Villa,Marpole Apartments,"8675 French St, Vancouver, BC V6P 4W5",Vancouver,Royal Villa - Plan E,1,1.0,460,1833,1833,1833.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,2024-04-19 04:59:19.228,49.20747848476663,-123.1393077633369,https://www.padmapper.com/buildings/p220475/royal-villa-apartments-at-8675-french-st-vancouver-bc-v6p-4w5
21,Royal Villa,Marpole Apartments,"8675 French St, Vancouver, BC V6P 4W5",Vancouver,Royal Villa - Plan G (Jr. 1 Bed),1,1.0,460,1999,1999,1999.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,2024-04-19 04:59:19.228,49.20747848476663,-123.1393077633369,https://www.padmapper.com/buildings/p220475/royal-villa-apartments-at-8675-french-st-vancouver-bc-v6p-4w5
22,Royal Villa,Marpole Apartments,"8675 French St, Vancouver, BC V6P 4W5",Vancouver,Royal Villa - Plan D,1,1.0,653,2099,2099,2099.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,2024-04-19 04:59:19.228,49.20747848476663,-123.1393077633369,https://www.padmapper.com/buildings/p220475/royal-villa-apartments-at-8675-french-st-vancouver-bc-v6p-4w5
23,Royal Villa,Marpole Apartments,"8675 French St, Vancouver, BC V6P 4W5",Vancouver,Royal Villa - Plan B,1,1.0,644,2325,2325,2325.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,2024-04-19 04:59:19.228,49.20747848476663,-123.1393077633369,https://www.padmapper.com/buildings/p220475/royal-villa-apartments-at-8675-french-st-vancouver-bc-v6p-4w5
24,Royal Villa,Marpole Apartments,"8675 French St, Vancouver, BC V6P 4W5",Vancouver,Royal Villa - Plan A,2,1.0,889,2749,2749,2749.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,2024-04-19 04:59:19.228,49.20747848476663,-123.1393077633369,https://www.padmapper.com/buildings/p220475/royal-villa-apartments-at-8675-french-st-vancouver-bc-v6p-4w5
25,3583 Kingsway,Renfrew,"3583 Kingsway, Vancouver, BC V5R 5L9",Vancouver,3583 Kingsway - Plan A,0,1.0,475,2108,2108,2108.0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,2024-04-19 04:59:19.228,49.23227436507534,-123.0268757227814,https://www.padmapper.com/buildings/p604641/apartments-at-3583-kingsway-vancouver-bc-v5r-5l9
26,3583 Kingsway,Renfrew,"3583 Kingsway, Vancouver, BC V5R 5L9",Vancouver,3583 Kingsway - Plan B,0,1.0,470,2374,2374,2374.0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,2024-04-19 04:59:19.228,49.23227436507534,-123.0268757227814,https://www.padmapper.com/buildings/p604641/apartments-at-3583-kingsway-vancouver-bc-v5r-5l9
27,3583 Kingsway,Renfrew,"3583 Kingsway, Vancouver, BC V5R 5L9",Vancouver,3583 Kingsway - Plan H,1,1.0,634,2383,2383,2383.0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,2024-04-19 04:59:19.228,49.23227436507534,-123.0268757227814,https://www.padmapper.com/buildings/p604641/apartments-at-3583-kingsway-vancouver-bc-v5r-5l9
28,3583 Kingsway,Renfrew,"3583 Kingsway, Vancouver, BC V5R 5L9",Vancouver,3583 Kingsway - Plan B,1,1.0,574,2550,2550,2550.0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,2024-04-19 04:59:19.228,49.23227436507534,-123.0268757227814,https://www.padmapper.com/buildings/p604641/apartments-at-3583-kingsway-vancouver-bc-v5r-5l9
29,3583 Kingsway,Renfrew,"3583 Kingsway, Vancouver, BC V5R 5L9",Vancouver,3583 Kingsway - Plan Q,2,1.0,680,3400,3400,3400.0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,2024-04-19 04:59:19.228,49.23227436507534,-123.0268757227814,https://www.padmapper.com/buildings/p604641/apartments-at-3583-kingsway-vancouver-bc-v5r-5l9
