Building,Neighbourhood,Address,City,Listing,Bed,Bath,SqFt,Pets,Price,Latitude,Longitude,Date,Url,Controlled Access,Fitness Center,Outdoor Space,Residents Lounge,Roof Deck,Storage,Swimming Pool,Air Conditioning,Balcony,Furnished,Hardwood Floor,High Ceilings,In Unit Laundry
Richards ,Downtown Vancouver Apartments,"510 Richards St, Vancouver, BC V6B None",Vancouver,A2- Studio 1 Bath,0,1.0,420.0,1,2400,49.28307300335392,-123.1132789494184,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p1013244/richards-pender-apartments-at-510-richards-st-vancouver-bc-v6b-none,1,1,1,1,0,1,0,0,0,0,0,0,1
Richards ,Downtown Vancouver Apartments,"510 Richards St, Vancouver, BC V6B None",Vancouver,A3- Studio 1 Bath,0,1.0,400.0,1,2500,49.28307300335392,-123.1132789494184,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p1013244/richards-pender-apartments-at-510-richards-st-vancouver-bc-v6b-none,1,1,1,1,0,1,0,0,0,0,0,0,1
Richards ,Downtown Vancouver Apartments,"510 Richards St, Vancouver, BC V6B None",Vancouver,D- 2BD 2BTH Flex,2,2.0,750.0,1,3760,49.28307300335392,-123.1132789494184,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p1013244/richards-pender-apartments-at-510-richards-st-vancouver-bc-v6b-none,1,1,1,1,0,1,0,0,0,0,0,0,1
Richards ,Downtown Vancouver Apartments,"510 Richards St, Vancouver, BC V6B None",Vancouver,C- 2BD 2BTH,2,2.0,810.0,1,4250,49.28307300335392,-123.1132789494184,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p1013244/richards-pender-apartments-at-510-richards-st-vancouver-bc-v6b-none,1,1,1,1,0,1,0,0,0,0,0,0,1
945 Jervis Street,West End Apartments,"945 Jervis St, Vancouver, BC V6E 2B8",Vancouver,Studio,0,1.0,439.0,1,2412,49.28533782866158,-123.13119359080264,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p604297/apartments-at-945-jervis-st-vancouver-bc-v6e-2b8,0,0,0,0,0,1,1,0,1,0,1,0,0
945 Jervis Street,West End Apartments,"945 Jervis St, Vancouver, BC V6E 2B8",Vancouver,1 Bedroom,1,1.0,612.0,1,3092,49.28533782866158,-123.13119359080264,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p604297/apartments-at-945-jervis-st-vancouver-bc-v6e-2b8,0,0,0,0,0,1,1,0,1,0,1,0,0
1348 Barclay Street,West End Apartments,"1348 Barclay St, Vancouver, BC V6E 1H7",Vancouver,Studio,0,1.0,445.0,1,2696,49.28624123486091,-123.13176092809545,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p602868/apartments-at-1348-barclay-st-vancouver-bc-v6e-1h7,0,0,0,0,0,1,1,0,0,0,0,0,0
1348 Barclay Street,West End Apartments,"1348 Barclay St, Vancouver, BC V6E 1H7",Vancouver,1 Bedroom,1,1.0,580.0,1,2949,49.28624123486091,-123.13176092809545,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p602868/apartments-at-1348-barclay-st-vancouver-bc-v6e-1h7,0,0,0,0,0,1,1,0,0,0,0,0,0
1360 Hornby Street,Downtown Vancouver Apartments,"1360 Hornby St, Vancouver, BC V6Z 1W5",Vancouver,Studio,0,1.0,445.0,1,2457,49.27675181228668,-123.1305258244942,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p646416/apartments-at-1360-hornby-st-vancouver-bc-v6z-1w5,0,0,0,0,0,0,0,0,0,0,0,0,0
1360 Hornby Street,Downtown Vancouver Apartments,"1360 Hornby St, Vancouver, BC V6Z 1W5",Vancouver,1 Bedroom,1,1.0,551.0,1,2763,49.27675181228668,-123.1305258244942,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p646416/apartments-at-1360-hornby-st-vancouver-bc-v6z-1w5,0,0,0,0,0,0,0,0,0,0,0,0,0
