Building,Neighbourhood,Address,City,Listing,Bed,Bath,SqFt,Price,Pets,Latitude,Longitude,Date,Controlled Access,Fitness Center,Outdoor Space,Residents Lounge,Roof Deck,Storage,Swimming Pool,Air Conditioning,Balcony,Furnished,Hardwood Floor,High Ceilings,In Unit Laundry
1188 Bidwell,West End Apartments,"1188 Bidwell St, Vancouver, BC V6G 0C6",Vancouver,Modern Junior 1-Bedroom,1,1.0,474,2750,1,49.2862731461713,-123.1400766152574,2024-02-05 19:08:06.754,0,1,1,1,1,1,0,0,0,0,1,0,1
1770 Pendrell by Westbank,West End Apartments,"1770 Pendrell St, Vancouver, BC V6G 0C5",Vancouver,Unit 505 - 1BR + 1BA + Balcony,0,1.0,440,2695,1,49.28769494521273,-123.140470128546,2024-02-05 19:08:06.754,0,1,1,0,0,1,0,1,1,0,0,0,1
1770 Pendrell by Westbank,West End Apartments,"1770 Pendrell St, Vancouver, BC V6G 0C5",Vancouver,Unit 1903 - 1BR + 1BA + Balcony,1,1.0,650,3300,1,49.28769494521273,-123.140470128546,2024-02-05 19:08:06.754,0,1,1,0,0,1,0,1,1,0,0,0,1
1770 Pendrell by Westbank,West End Apartments,"1770 Pendrell St, Vancouver, BC V6G 0C5",Vancouver,Unit 101 - 2BR + 2BA + Balcony,2,2.0,820,4125,1,49.28769494521273,-123.140470128546,2024-02-05 19:08:06.754,0,1,1,0,0,1,0,1,1,0,0,0,1
1770 Pendrell by Westbank,West End Apartments,"1770 Pendrell St, Vancouver, BC V6G 0C5",Vancouver,Unit 1605 - 3BR + 2BA + Flex + Balcony,3,2.0,990,4995,1,49.28769494521273,-123.140470128546,2024-02-05 19:08:06.754,0,1,1,0,0,1,0,1,1,0,0,0,1
Metropolitan Towers,Downtown Vancouver Apartments,"930 Seymour St, Vancouver, BC V6B 1B4",Vancouver,A2,0,1.0,437,2643,1,49.27932740822938,-123.1208403802153,2024-02-05 19:08:06.754,0,1,1,0,0,1,0,0,0,0,0,0,1
Metropolitan Towers,Downtown Vancouver Apartments,"930 Seymour St, Vancouver, BC V6B 1B4",Vancouver,D7,1,1.0,595,2767,1,49.27932740822938,-123.1208403802153,2024-02-05 19:08:06.754,0,1,1,0,0,1,0,0,0,0,0,0,1
Metropolitan Towers,Downtown Vancouver Apartments,"930 Seymour St, Vancouver, BC V6B 1B4",Vancouver,D7,1,1.0,595,2782,1,49.27932740822938,-123.1208403802153,2024-02-05 19:08:06.754,0,1,1,0,0,1,0,0,0,0,0,0,1
Metropolitan Towers,Downtown Vancouver Apartments,"930 Seymour St, Vancouver, BC V6B 1B4",Vancouver,C6,1,1.0,590,2852,1,49.27932740822938,-123.1208403802153,2024-02-05 19:08:06.754,0,1,1,0,0,1,0,0,0,0,0,0,1
Metropolitan Towers,Downtown Vancouver Apartments,"930 Seymour St, Vancouver, BC V6B 1B4",Vancouver,C5,1,1.0,616,2877,1,49.27932740822938,-123.1208403802153,2024-02-05 19:08:06.754,0,1,1,0,0,1,0,0,0,0,0,0,1
Metropolitan Towers,Downtown Vancouver Apartments,"930 Seymour St, Vancouver, BC V6B 1B4",Vancouver,C6,1,1.0,584,2937,1,49.27932740822938,-123.1208403802153,2024-02-05 19:08:06.754,0,1,1,0,0,1,0,0,0,0,0,0,1
Metropolitan Towers,Downtown Vancouver Apartments,"930 Seymour St, Vancouver, BC V6B 1B4",Vancouver,D4,1,1.0,676,2937,1,49.27932740822938,-123.1208403802153,2024-02-05 19:08:06.754,0,1,1,0,0,1,0,0,0,0,0,0,1
Yaletown 939,Downtown Vancouver Apartments,"939 Beatty St, Vancouver, BC V6Z 3C1",Vancouver,A1,0,1.0,429,2754,1,49.27629015994012,-123.1160766210869,2024-02-05 19:08:06.754,0,1,1,1,1,0,1,0,0,0,0,0,1
Yaletown 939,Downtown Vancouver Apartments,"939 Beatty St, Vancouver, BC V6Z 3C1",Vancouver,A1,0,1.0,429,2761,1,49.27629015994012,-123.1160766210869,2024-02-05 19:08:06.754,0,1,1,1,1,0,1,0,0,0,0,0,1
Yaletown 939,Downtown Vancouver Apartments,"939 Beatty St, Vancouver, BC V6Z 3C1",Vancouver,C3,1,1.0,491,2552,1,49.27629015994012,-123.1160766210869,2024-02-05 19:08:06.754,0,1,1,1,1,0,1,0,0,0,0,0,1
Yaletown 939,Downtown Vancouver Apartments,"939 Beatty St, Vancouver, BC V6Z 3C1",Vancouver,C3,1,1.0,500,2682,1,49.27629015994012,-123.1160766210869,2024-02-05 19:08:06.754,0,1,1,1,1,0,1,0,0,0,0,0,1
Yaletown 939,Downtown Vancouver Apartments,"939 Beatty St, Vancouver, BC V6Z 3C1",Vancouver,C6,1,1.0,572,2684,1,49.27629015994012,-123.1160766210869,2024-02-05 19:08:06.754,0,1,1,1,1,0,1,0,0,0,0,0,1
Yaletown 939,Downtown Vancouver Apartments,"939 Beatty St, Vancouver, BC V6Z 3C1",Vancouver,I2,2,2.0,777,3417,1,49.27629015994012,-123.1160766210869,2024-02-05 19:08:06.754,0,1,1,1,1,0,1,0,0,0,0,0,1
Yaletown 939,Downtown Vancouver Apartments,"939 Beatty St, Vancouver, BC V6Z 3C1",Vancouver,I1,2,2.0,733,3698,1,49.27629015994012,-123.1160766210869,2024-02-05 19:08:06.754,0,1,1,1,1,0,1,0,0,0,0,0,1
Yaletown 939,Downtown Vancouver Apartments,"939 Beatty St, Vancouver, BC V6Z 3C1",Vancouver,I1,2,2.0,733,3975,1,49.27629015994012,-123.1160766210869,2024-02-05 19:08:06.754,0,1,1,1,1,0,1,0,0,0,0,0,1
Bayview at Coal Harbour,Downtown Vancouver Apartments,"1529 Pender St W, Vancouver, BC V6G 3J3",Vancouver,A2,0,1.0,463,2862,1,49.29012732507233,-123.1290959286057,2024-02-05 19:08:06.754,0,1,1,0,0,1,0,0,0,0,0,0,1
Bayview at Coal Harbour,Downtown Vancouver Apartments,"1529 Pender St W, Vancouver, BC V6G 3J3",Vancouver,C2,1,1.0,595,3046,1,49.29012732507233,-123.1290959286057,2024-02-05 19:08:06.754,0,1,1,0,0,1,0,0,0,0,0,0,1
Bayview at Coal Harbour,Downtown Vancouver Apartments,"1529 Pender St W, Vancouver, BC V6G 3J3",Vancouver,C4,1,1.0,619,3258,1,49.29012732507233,-123.1290959286057,2024-02-05 19:08:06.754,0,1,1,0,0,1,0,0,0,0,0,0,1
Bayview at Coal Harbour,Downtown Vancouver Apartments,"1529 Pender St W, Vancouver, BC V6G 3J3",Vancouver,C5,1,1.0,658,3380,1,49.29012732507233,-123.1290959286057,2024-02-05 19:08:06.754,0,1,1,0,0,1,0,0,0,0,0,0,1
Bayview at Coal Harbour,Downtown Vancouver Apartments,"1529 Pender St W, Vancouver, BC V6G 3J3",Vancouver,C3,1,1.0,619,3706,1,49.29012732507233,-123.1290959286057,2024-02-05 19:08:06.754,0,1,1,0,0,1,0,0,0,0,0,0,1
Zephyr,West End Apartments,"1661 Davie St, Vancouver, BC V6G 1W1",Vancouver,Studio,0,1.0,500,2750,1,49.2859436857437,-123.1396312426963,2024-02-05 19:08:06.754,0,1,1,1,0,1,0,1,1,0,0,0,1
Zephyr,West End Apartments,"1661 Davie St, Vancouver, BC V6G 1W1",Vancouver,1 Bedroom,1,1.0,550,2995,1,49.2859436857437,-123.1396312426963,2024-02-05 19:08:06.754,0,1,1,1,0,1,0,1,1,0,0,0,1
Zephyr,West End Apartments,"1661 Davie St, Vancouver, BC V6G 1W1",Vancouver,2 Bedroom,2,2.0,918,4495,1,49.2859436857437,-123.1396312426963,2024-02-05 19:08:06.754,0,1,1,1,0,1,0,1,1,0,0,0,1
Richards ,Downtown Vancouver Apartments,"510 Richards St, Vancouver, BC V6B None",Vancouver,A3- Studio 1 Bath,0,1.0,420,2450,1,49.28307300335392,-123.1132789494184,2024-02-05 19:08:06.754,1,1,1,1,0,1,0,0,0,0,0,0,1
Richards ,Downtown Vancouver Apartments,"510 Richards St, Vancouver, BC V6B None",Vancouver,A- Studio 1 Bath,0,1.0,480,2588,1,49.28307300335392,-123.1132789494184,2024-02-05 19:08:06.754,1,1,1,1,0,1,0,0,0,0,0,0,1
Richards ,Downtown Vancouver Apartments,"510 Richards St, Vancouver, BC V6B None",Vancouver,D- 2BD 2BTH Flex,2,2.0,750,4500,1,49.28307300335392,-123.1132789494184,2024-02-05 19:08:06.754,1,1,1,1,0,1,0,0,0,0,0,0,1
Richards ,Downtown Vancouver Apartments,"510 Richards St, Vancouver, BC V6B None",Vancouver,C- 2BD 2BTH,2,2.0,810,4880,1,49.28307300335392,-123.1132789494184,2024-02-05 19:08:06.754,1,1,1,1,0,1,0,0,0,0,0,0,1
The Glenmore,West End Apartments,"1885 Barclay St, Vancouver, BC V6G 1K7",Vancouver,The Glenmore - Plan E,1,1.0,423,2575,1,49.2909633280581,-123.138813415234,2024-02-05 19:08:06.754,0,0,0,0,0,1,0,0,0,0,1,0,1
