Building,Neighbourhood,Address,City,Listing,Bed,Bath,SqFt,Price,Unit Amenities,Building Amenities,Pets,Latitude,Longitude,Date
Yaletown 939,Downtown Vancouver Apartments,"939 Beatty St, Vancouver, BC V6Z 3C1",Vancouver,I2,2 Bedrooms,2 Bathrooms,777 SQFT,"$3,417","Dishwasher, In Unit Laundry, On Site Laundry",", Fitness Center, On Site Laundry, Outdoor Space, Residents Lounge, Roof Deck, Swimming Pool",Dogs & Cats,49.27629015994012,-123.11607662108688,2024-02-05 19:08:06.754
Yaletown 939,Downtown Vancouver Apartments,"939 Beatty St, Vancouver, BC V6Z 3C1",Vancouver,I1,2 Bedrooms,2 Bathrooms,733 SQFT,"$3,698","Dishwasher, In Unit Laundry, On Site Laundry",", Fitness Center, On Site Laundry, Outdoor Space, Residents Lounge, Roof Deck, Swimming Pool",Dogs & Cats,49.27629015994012,-123.11607662108688,2024-02-05 19:08:06.754
Yaletown 939,Downtown Vancouver Apartments,"939 Beatty St, Vancouver, BC V6Z 3C1",Vancouver,I1,2 Bedrooms,2 Bathrooms,733 SQFT,"$3,975","Dishwasher, In Unit Laundry, On Site Laundry",", Fitness Center, On Site Laundry, Outdoor Space, Residents Lounge, Roof Deck, Swimming Pool",Dogs & Cats,49.27629015994012,-123.11607662108688,2024-02-05 19:08:06.754
Bayview at Coal Harbour,Downtown Vancouver Apartments,"1529 Pender St W, Vancouver, BC V6G 3J3",Vancouver,A2,Studios,1 Bathroom,463 SQFT,"$2,862","Dishwasher, In Unit Laundry, On Site Laundry",", Fitness Center, On Site Laundry, Outdoor Space, Storage",Dogs & Cats,49.290127325072326,-123.1290959286057,2024-02-05 19:08:06.754
Bayview at Coal Harbour,Downtown Vancouver Apartments,"1529 Pender St W, Vancouver, BC V6G 3J3",Vancouver,C2,1 Bedrooms,1 Bathroom,595 SQFT,"$3,046","Dishwasher, In Unit Laundry, On Site Laundry",", Fitness Center, On Site Laundry, Outdoor Space, Storage",Dogs & Cats,49.290127325072326,-123.1290959286057,2024-02-05 19:08:06.754
Bayview at Coal Harbour,Downtown Vancouver Apartments,"1529 Pender St W, Vancouver, BC V6G 3J3",Vancouver,C4,1 Bedrooms,1 Bathroom,619 SQFT,"$3,258","Dishwasher, In Unit Laundry, On Site Laundry",", Fitness Center, On Site Laundry, Outdoor Space, Storage",Dogs & Cats,49.290127325072326,-123.1290959286057,2024-02-05 19:08:06.754
Bayview at Coal Harbour,Downtown Vancouver Apartments,"1529 Pender St W, Vancouver, BC V6G 3J3",Vancouver,C5,1 Bedrooms,1 Bathroom,658 SQFT,"$3,380","Dishwasher, In Unit Laundry, On Site Laundry",", Fitness Center, On Site Laundry, Outdoor Space, Storage",Dogs & Cats,49.290127325072326,-123.1290959286057,2024-02-05 19:08:06.754
Bayview at Coal Harbour,Downtown Vancouver Apartments,"1529 Pender St W, Vancouver, BC V6G 3J3",Vancouver,C3,1 Bedrooms,1 Bathroom,619 SQFT,"$3,706","Dishwasher, In Unit Laundry, On Site Laundry",", Fitness Center, On Site Laundry, Outdoor Space, Storage",Dogs & Cats,49.290127325072326,-123.1290959286057,2024-02-05 19:08:06.754
Zephyr,West End Apartments,"1661 Davie St, Vancouver, BC V6G 1W1",Vancouver,Studio,Studios,1 Bathroom,500 SQFT,"$2,750","Air Conditioning, Assigned Parking, Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,49.2859436857437,-123.13963124269634,2024-02-05 19:08:06.754
Zephyr,West End Apartments,"1661 Davie St, Vancouver, BC V6G 1W1",Vancouver,1 Bedroom,1 Bedrooms,1 Bathroom,550 SQFT,"$2,995","Air Conditioning, Assigned Parking, Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,49.2859436857437,-123.13963124269634,2024-02-05 19:08:06.754
Zephyr,West End Apartments,"1661 Davie St, Vancouver, BC V6G 1W1",Vancouver,2 Bedroom,2 Bedrooms,2 Bathrooms,918 SQFT,"$4,495","Air Conditioning, Assigned Parking, Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,49.2859436857437,-123.13963124269634,2024-02-05 19:08:06.754
Richards ,Downtown Vancouver Apartments,"510 Richards St, Vancouver, BC V6B None",Vancouver,A3- Studio 1 Bath,Studios,1 Bathroom,420 SQFT,"$2,450","In Unit Laundry, On Site Laundry","Controlled Access, Elevator, Fitness Center, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,49.28307300335392,-123.1132789494184,2024-02-05 19:08:06.754
Richards ,Downtown Vancouver Apartments,"510 Richards St, Vancouver, BC V6B None",Vancouver,A- Studio 1 Bath,Studios,1 Bathroom,480 SQFT,"$2,588","In Unit Laundry, On Site Laundry","Controlled Access, Elevator, Fitness Center, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,49.28307300335392,-123.1132789494184,2024-02-05 19:08:06.754
Richards ,Downtown Vancouver Apartments,"510 Richards St, Vancouver, BC V6B None",Vancouver,D- 2BD 2BTH Flex,2 Bedrooms,2 Bathrooms,750 SQFT,"$4,500","In Unit Laundry, On Site Laundry","Controlled Access, Elevator, Fitness Center, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,49.28307300335392,-123.1132789494184,2024-02-05 19:08:06.754
Richards ,Downtown Vancouver Apartments,"510 Richards St, Vancouver, BC V6B None",Vancouver,C- 2BD 2BTH,2 Bedrooms,2 Bathrooms,810 SQFT,"$4,880","In Unit Laundry, On Site Laundry","Controlled Access, Elevator, Fitness Center, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,49.28307300335392,-123.1132789494184,2024-02-05 19:08:06.754
The Glenmore,West End Apartments,"1885 Barclay St, Vancouver, BC V6G 1K7",Vancouver,The Glenmore - Plan E,1 Bedrooms,1 Bathroom,423 SQFT,"$2,575","Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Elevator, On Site Laundry, Storage",Dogs & Cats,49.2909633280581,-123.13881341523404,2024-02-05 19:08:06.754
The Glenmore,West End Apartments,"1885 Barclay St, Vancouver, BC V6G 1K7",Vancouver,The Glenmore - Plan A,2 Bedrooms,1 Bathroom,708 SQFT,"$3,599","Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Elevator, On Site Laundry, Storage",Dogs & Cats,49.2909633280581,-123.13881341523404,2024-02-05 19:08:06.754
1355 West 14th,Fairview Apartments,"1355 14th Ave W, Vancouver, BC V6H 1R2",Vancouver,South Granville - Plan A,Studios,1 Bathroom,425 SQFT,"$2,299","Balcony, Dishwasher, Hardwood Floor, On Site Laundry","Elevator, On Site Laundry, Storage",Dogs & Cats,49.25891454941143,-123.13508787635013,2024-02-05 19:08:06.754
1355 West 14th,Fairview Apartments,"1355 14th Ave W, Vancouver, BC V6H 1R2",Vancouver,South Granville - Plan A,1 Bedrooms,1 Bathroom,575 SQFT,"$2,849","Balcony, Dishwasher, Hardwood Floor, On Site Laundry","Elevator, On Site Laundry, Storage",Dogs & Cats,49.25891454941143,-123.13508787635013,2024-02-05 19:08:06.754
1355 West 14th,Fairview Apartments,"1355 14th Ave W, Vancouver, BC V6H 1R2",Vancouver,South Granville - Plan B,1 Bedrooms,1 Bathroom,623 SQFT,"$3,105","Balcony, Dishwasher, Hardwood Floor, On Site Laundry","Elevator, On Site Laundry, Storage",Dogs & Cats,49.25891454941143,-123.13508787635013,2024-02-05 19:08:06.754
1355 West 14th,Fairview Apartments,"1355 14th Ave W, Vancouver, BC V6H 1R2",Vancouver,South Granville - Plan A,2 Bedrooms,1 Bathroom,792 SQFT,"$3,499","Balcony, Dishwasher, Hardwood Floor, On Site Laundry","Elevator, On Site Laundry, Storage",Dogs & Cats,49.25891454941143,-123.13508787635013,2024-02-05 19:08:06.754
2280 West 6th,Kitsilano Apartments,"2280 6th Ave W, Vancouver, BC V6K 1V8",Vancouver,The Aquarius - Plan C,1 Bedrooms,1 Bathroom,477 SQFT,"$2,499","Balcony, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Elevator, On Site Laundry, Storage",Dogs & Cats,49.26641866403498,-123.1570974868476,2024-02-05 19:08:06.754
2280 West 6th,Kitsilano Apartments,"2280 6th Ave W, Vancouver, BC V6K 1V8",Vancouver,The Aquarius - Plan A,1 Bedrooms,1 Bathroom,636 SQFT,"$3,265","Balcony, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Elevator, On Site Laundry, Storage",Dogs & Cats,49.26641866403498,-123.1570974868476,2024-02-05 19:08:06.754
2280 West 6th,Kitsilano Apartments,"2280 6th Ave W, Vancouver, BC V6K 1V8",Vancouver,The Aquarius - Plan A,2 Bedrooms,1 Bathroom,867 SQFT,"$3,749","Balcony, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Elevator, On Site Laundry, Storage",Dogs & Cats,49.26641866403498,-123.1570974868476,2024-02-05 19:08:06.754
1360 Hornby Street,Downtown Vancouver Apartments,"1360 Hornby St, Vancouver, BC V6Z 1W5",Vancouver,Bachelor,Studios,1 Bathroom,448 SQFT,"$2,450—$2,506",On Site Laundry,"Elevator, On Site Laundry, Onsite Management",No pets,49.27675181228668,-123.1305258244942,2024-02-05 19:08:06.754
1360 Hornby Street,Downtown Vancouver Apartments,"1360 Hornby St, Vancouver, BC V6Z 1W5",Vancouver,1 Bedroom,1 Bedrooms,1 Bathroom,559 SQFT,"$2,579—$2,593",On Site Laundry,"Elevator, On Site Laundry, Onsite Management",No pets,49.27675181228668,-123.1305258244942,2024-02-05 19:08:06.754
3583 Kingsway,Renfrew,"3583 Kingsway, Vancouver, BC V5R 5L9",Vancouver,The Link - Plan A,Studios,1 Bathroom,475 SQFT,"$2,399","Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, On Site Laundry, Storage",Dogs & Cats,49.23227436507534,-123.0268757227814,2024-02-05 19:08:06.754
3583 Kingsway,Renfrew,"3583 Kingsway, Vancouver, BC V5R 5L9",Vancouver,The Link - Plan C,Studios,1 Bathroom,460 SQFT,"$2,515","Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, On Site Laundry, Storage",Dogs & Cats,49.23227436507534,-123.0268757227814,2024-02-05 19:08:06.754
3583 Kingsway,Renfrew,"3583 Kingsway, Vancouver, BC V5R 5L9",Vancouver,The Link - Plan I,1 Bedrooms,1 Bathroom,635 SQFT,"$2,649","Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, On Site Laundry, Storage",Dogs & Cats,49.23227436507534,-123.0268757227814,2024-02-05 19:08:06.754
3583 Kingsway,Renfrew,"3583 Kingsway, Vancouver, BC V5R 5L9",Vancouver,The Link - Plan H,1 Bedrooms,1 Bathroom,634 SQFT,"$2,775","Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, On Site Laundry, Storage",Dogs & Cats,49.23227436507534,-123.0268757227814,2024-02-05 19:08:06.754
3583 Kingsway,Renfrew,"3583 Kingsway, Vancouver, BC V5R 5L9",Vancouver,The Link - Plan E,1 Bedrooms,1 Bathroom,599 SQFT,"$2,849","Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, On Site Laundry, Storage",Dogs & Cats,49.23227436507534,-123.0268757227814,2024-02-05 19:08:06.754
2244 West 6th,Kitsilano Apartments,"2244 6th Ave W, Vancouver, BC V6K 1V8",Vancouver,Sabanna Terrace - Plan H,1 Bedrooms,1 Bathroom,599 SQFT,"$2,849","Dishwasher, In Unit Laundry, On Site Laundry","Elevator, On Site Laundry, Storage",Dogs & Cats,49.26640615877288,-123.15634104758098,2024-02-05 19:08:06.754
2244 West 6th,Kitsilano Apartments,"2244 6th Ave W, Vancouver, BC V6K 1V8",Vancouver,Sabanna Terrace - Plan A,1 Bedrooms,1 Bathroom,600 SQFT,"$2,899","Dishwasher, In Unit Laundry, On Site Laundry","Elevator, On Site Laundry, Storage",Dogs & Cats,49.26640615877288,-123.15634104758098,2024-02-05 19:08:06.754
2244 West 6th,Kitsilano Apartments,"2244 6th Ave W, Vancouver, BC V6K 1V8",Vancouver,Sabanna Terrace - Plan I,1 Bedrooms,1 Bathroom,606 SQFT,"$3,075","Dishwasher, In Unit Laundry, On Site Laundry","Elevator, On Site Laundry, Storage",Dogs & Cats,49.26640615877288,-123.15634104758098,2024-02-05 19:08:06.754
Arbutus Residences,Quilchena Apartments,"4188 Yew St, Vancouver, BC V6L 0C1",Vancouver,Studio,Studios,1 Bathroom,450 SQFT,"$2,500","Air Conditioning, Assigned Parking, Balcony, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage",Dogs & Cats,49.25038390249504,-123.15551620789644,2024-02-05 19:08:06.754
Arbutus Residences,Quilchena Apartments,"4188 Yew St, Vancouver, BC V6L 0C1",Vancouver,One-Bedroom,1 Bedrooms,1 Bathroom,685 SQFT,"$3,155","Air Conditioning, Assigned Parking, Balcony, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage",Dogs & Cats,49.25038390249504,-123.15551620789644,2024-02-05 19:08:06.754
Arbutus Residences,Quilchena Apartments,"4188 Yew St, Vancouver, BC V6L 0C1",Vancouver,One-Bedroom (Unit 531),1 Bedrooms,1 Bathroom,725 SQFT,"$3,410","Air Conditioning, Assigned Parking, Balcony, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage",Dogs & Cats,49.25038390249504,-123.15551620789644,2024-02-05 19:08:06.754
Arbutus Residences,Quilchena Apartments,"4188 Yew St, Vancouver, BC V6L 0C1",Vancouver,Two-Bedroom,2 Bedrooms,2 Bathrooms,"1,000 SQFT","$4,035","Air Conditioning, Assigned Parking, Balcony, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage",Dogs & Cats,49.25038390249504,-123.15551620789644,2024-02-05 19:08:06.754
Arbutus Residences,Quilchena Apartments,"4188 Yew St, Vancouver, BC V6L 0C1",Vancouver,Two-Bedroom (Unit 712),2 Bedrooms,2 Bathrooms,980 SQFT,"$4,045","Air Conditioning, Assigned Parking, Balcony, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage",Dogs & Cats,49.25038390249504,-123.15551620789644,2024-02-05 19:08:06.754
Arbutus Residences,Quilchena Apartments,"4188 Yew St, Vancouver, BC V6L 0C1",Vancouver,Two-Bedroom (Unit 811),2 Bedrooms,2 Bathrooms,990 SQFT,"$4,120","Air Conditioning, Assigned Parking, Balcony, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage",Dogs & Cats,49.25038390249504,-123.15551620789644,2024-02-05 19:08:06.754
Arbutus Residences,Quilchena Apartments,"4188 Yew St, Vancouver, BC V6L 0C1",Vancouver,Two-Bedroom (Unit 703),2 Bedrooms,1 Bathroom,735 SQFT,"$4,195","Air Conditioning, Assigned Parking, Balcony, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage",Dogs & Cats,49.25038390249504,-123.15551620789644,2024-02-05 19:08:06.754
Arbutus Residences,Quilchena Apartments,"4188 Yew St, Vancouver, BC V6L 0C1",Vancouver,Three-Bedroom,3 Bedrooms,2 Bathrooms,"1,100 SQFT","$4,550","Air Conditioning, Assigned Parking, Balcony, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage",Dogs & Cats,49.25038390249504,-123.15551620789644,2024-02-05 19:08:06.754
Arbutus Residences,Quilchena Apartments,"4188 Yew St, Vancouver, BC V6L 0C1",Vancouver,Three-Bedroom (Unit 709),3 Bedrooms,2 Bathrooms,"1,090 SQFT","$5,995","Air Conditioning, Assigned Parking, Balcony, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage",Dogs & Cats,49.25038390249504,-123.15551620789644,2024-02-05 19:08:06.754
Arbutus Residences,Quilchena Apartments,"4188 Yew St, Vancouver, BC V6L 0C1",Vancouver,Penthouse,4 Bedrooms,3 Bathrooms,"2,220 SQFT","$10,895","Air Conditioning, Assigned Parking, Balcony, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Walk In Closets","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage",Dogs & Cats,49.25038390249504,-123.15551620789644,2024-02-05 19:08:06.754
The Bovill,Oakridge Apartments,"188 49th Ave E, Vancouver, BC V5W 0E6",Vancouver,2bed,2 Bedrooms,2 Bathrooms,810 SQFT,"$3,195","Assigned Parking, Balcony, Central Heat, Dishwasher, In Unit Laundry, On Site Laundry","Controlled Access, Elevator, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Cats,49.22560172966707,-123.1025228443768,2024-02-05 19:08:06.754
The Bovill,Oakridge Apartments,"188 49th Ave E, Vancouver, BC V5W 0E6",Vancouver,3bed,3 Bedrooms,2 Bathrooms,"1,004 SQFT","$4,095","Assigned Parking, Balcony, Central Heat, Dishwasher, In Unit Laundry, On Site Laundry","Controlled Access, Elevator, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Cats,49.22560172966707,-123.1025228443768,2024-02-05 19:08:06.754
5815 Yew Street,Kerrisdale Apartments,"5815 Yew St, Vancouver, BC V6M 3Y6",Vancouver,Vancouver Bachelor,Studios,1 Bathroom,482 SQFT,"$2,399","Assigned Parking, Balcony, Dishwasher, Hardwood Floor, On Site Laundry","Elevator, Garage Parking, On Site Laundry, Onsite Management, Storage",Dogs & Cats,49.23332523855991,-123.15863758314504,2024-02-05 19:08:06.754
5815 Yew Street,Kerrisdale Apartments,"5815 Yew St, Vancouver, BC V6M 3Y6",Vancouver,Vancouver 1 Bedroom,1 Bedrooms,1 Bathroom,655 SQFT,"$2,619","Assigned Parking, Balcony, Dishwasher, Hardwood Floor, On Site Laundry","Elevator, Garage Parking, On Site Laundry, Onsite Management, Storage",Dogs & Cats,49.23332523855991,-123.15863758314504,2024-02-05 19:08:06.754
1501 Haro Street,West End Apartments,"1501 Haro St, Vancouver, BC V6G 1G4",Vancouver,1 Bedroom,1 Bedrooms,1 Bathroom,432 SQFT,"$2,613","Assigned Parking, Balcony, Dishwasher, On Site Laundry","Elevator, Garage Parking, On Site Laundry, Onsite Management, Storage, Swimming Pool",Dogs & Cats,49.28807699426087,-123.132178015981,2024-02-05 19:08:06.754
