Building,Neighbourhood,Address,City,Listing,Bed,Bath,SqFt,Price,Unit Amenities,Building Amenities,Pets,Latitude,Longitude,Date
1188 Bidwell,West End Apartments,"1188 Bidwell St, Vancouver, BC V6G 0C6",Vancouver,Modern Junior 1-Bedroom,1 Bedrooms,1 Bathroom,474 SQFT,"$2,750","Assigned Parking, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Outdoor Space, Residents Lounge, Roof Deck, Storage, Wheelchair Accessible",Dogs & Cats,49.2862731461713,-123.14007661525744,2024-02-05 19:08:06.754
1188 Bidwell,West End Apartments,"1188 Bidwell St, Vancouver, BC V6G 0C6",Vancouver,PENTHOUSE,2 Bedrooms,2 Bathrooms,"1,164 SQFT","$5,995","Assigned Parking, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Outdoor Space, Residents Lounge, Roof Deck, Storage, Wheelchair Accessible",Dogs & Cats,49.2862731461713,-123.14007661525744,2024-02-05 19:08:06.754
1770 Pendrell by Westbank,West End Apartments,"1770 Pendrell St, Vancouver, BC V6G 0C5",Vancouver,Unit 505 - 1BR + 1BA + Balcony,Studios,1 Bathroom,440 SQFT,"$2,695","Air Conditioning, Assigned Parking, Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Storage",Dogs & Cats,49.28769494521273,-123.14047012854596,2024-02-05 19:08:06.754
1770 Pendrell by Westbank,West End Apartments,"1770 Pendrell St, Vancouver, BC V6G 0C5",Vancouver,Unit 1903 - 1BR + 1BA + Balcony,1 Bedrooms,1 Bathroom,650 SQFT,"$3,300","Air Conditioning, Assigned Parking, Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Storage",Dogs & Cats,49.28769494521273,-123.14047012854596,2024-02-05 19:08:06.754
1770 Pendrell by Westbank,West End Apartments,"1770 Pendrell St, Vancouver, BC V6G 0C5",Vancouver,Unit 101 - 2BR + 2BA + Balcony,2 Bedrooms,2 Bathrooms,820 SQFT,"$4,125","Air Conditioning, Assigned Parking, Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Storage",Dogs & Cats,49.28769494521273,-123.14047012854596,2024-02-05 19:08:06.754
1770 Pendrell by Westbank,West End Apartments,"1770 Pendrell St, Vancouver, BC V6G 0C5",Vancouver,Unit 1605 - 3BR + 2BA + Flex + Balcony,3 Bedrooms,2 Bathrooms,990 SQFT,"$4,995","Air Conditioning, Assigned Parking, Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Storage",Dogs & Cats,49.28769494521273,-123.14047012854596,2024-02-05 19:08:06.754
Metropolitan Towers,Downtown Vancouver Apartments,"930 Seymour St, Vancouver, BC V6B 1B4",Vancouver,A2,Studios,1 Bathroom,437 SQFT,"$2,643","Dishwasher, In Unit Laundry, On Site Laundry",", Fitness Center, On Site Laundry, Outdoor Space, Package Service, Storage",Dogs & Cats,49.279327408229385,-123.12084038021528,2024-02-05 19:08:06.754
Metropolitan Towers,Downtown Vancouver Apartments,"930 Seymour St, Vancouver, BC V6B 1B4",Vancouver,D7,1 Bedrooms,1 Bathroom,595 SQFT,"$2,767","Dishwasher, In Unit Laundry, On Site Laundry",", Fitness Center, On Site Laundry, Outdoor Space, Package Service, Storage",Dogs & Cats,49.279327408229385,-123.12084038021528,2024-02-05 19:08:06.754
Metropolitan Towers,Downtown Vancouver Apartments,"930 Seymour St, Vancouver, BC V6B 1B4",Vancouver,D7,1 Bedrooms,1 Bathroom,595 SQFT,"$2,782","Dishwasher, In Unit Laundry, On Site Laundry",", Fitness Center, On Site Laundry, Outdoor Space, Package Service, Storage",Dogs & Cats,49.279327408229385,-123.12084038021528,2024-02-05 19:08:06.754
Metropolitan Towers,Downtown Vancouver Apartments,"930 Seymour St, Vancouver, BC V6B 1B4",Vancouver,C6,1 Bedrooms,1 Bathroom,590 SQFT,"$2,852","Dishwasher, In Unit Laundry, On Site Laundry",", Fitness Center, On Site Laundry, Outdoor Space, Package Service, Storage",Dogs & Cats,49.279327408229385,-123.12084038021528,2024-02-05 19:08:06.754
Metropolitan Towers,Downtown Vancouver Apartments,"930 Seymour St, Vancouver, BC V6B 1B4",Vancouver,C5,1 Bedrooms,1 Bathroom,616 SQFT,"$2,877","Dishwasher, In Unit Laundry, On Site Laundry",", Fitness Center, On Site Laundry, Outdoor Space, Package Service, Storage",Dogs & Cats,49.279327408229385,-123.12084038021528,2024-02-05 19:08:06.754
Metropolitan Towers,Downtown Vancouver Apartments,"930 Seymour St, Vancouver, BC V6B 1B4",Vancouver,C6,1 Bedrooms,1 Bathroom,584 SQFT,"$2,937","Dishwasher, In Unit Laundry, On Site Laundry",", Fitness Center, On Site Laundry, Outdoor Space, Package Service, Storage",Dogs & Cats,49.279327408229385,-123.12084038021528,2024-02-05 19:08:06.754
Metropolitan Towers,Downtown Vancouver Apartments,"930 Seymour St, Vancouver, BC V6B 1B4",Vancouver,D4,1 Bedrooms,1 Bathroom,676 SQFT,"$2,937","Dishwasher, In Unit Laundry, On Site Laundry",", Fitness Center, On Site Laundry, Outdoor Space, Package Service, Storage",Dogs & Cats,49.279327408229385,-123.12084038021528,2024-02-05 19:08:06.754
Yaletown 939,Downtown Vancouver Apartments,"939 Beatty St, Vancouver, BC V6Z 3C1",Vancouver,A1,Studios,1 Bathroom,429 SQFT,"$2,754","Dishwasher, In Unit Laundry, On Site Laundry",", Fitness Center, On Site Laundry, Outdoor Space, Residents Lounge, Roof Deck, Swimming Pool",Dogs & Cats,49.27629015994012,-123.11607662108688,2024-02-05 19:08:06.754
Yaletown 939,Downtown Vancouver Apartments,"939 Beatty St, Vancouver, BC V6Z 3C1",Vancouver,A1,Studios,1 Bathroom,429 SQFT,"$2,761","Dishwasher, In Unit Laundry, On Site Laundry",", Fitness Center, On Site Laundry, Outdoor Space, Residents Lounge, Roof Deck, Swimming Pool",Dogs & Cats,49.27629015994012,-123.11607662108688,2024-02-05 19:08:06.754
Yaletown 939,Downtown Vancouver Apartments,"939 Beatty St, Vancouver, BC V6Z 3C1",Vancouver,C3,1 Bedrooms,1 Bathroom,491 SQFT,"$2,552","Dishwasher, In Unit Laundry, On Site Laundry",", Fitness Center, On Site Laundry, Outdoor Space, Residents Lounge, Roof Deck, Swimming Pool",Dogs & Cats,49.27629015994012,-123.11607662108688,2024-02-05 19:08:06.754
Yaletown 939,Downtown Vancouver Apartments,"939 Beatty St, Vancouver, BC V6Z 3C1",Vancouver,C3,1 Bedrooms,1 Bathroom,500 SQFT,"$2,682","Dishwasher, In Unit Laundry, On Site Laundry",", Fitness Center, On Site Laundry, Outdoor Space, Residents Lounge, Roof Deck, Swimming Pool",Dogs & Cats,49.27629015994012,-123.11607662108688,2024-02-05 19:08:06.754
Yaletown 939,Downtown Vancouver Apartments,"939 Beatty St, Vancouver, BC V6Z 3C1",Vancouver,C6,1 Bedrooms,1 Bathroom,572 SQFT,"$2,684","Dishwasher, In Unit Laundry, On Site Laundry",", Fitness Center, On Site Laundry, Outdoor Space, Residents Lounge, Roof Deck, Swimming Pool",Dogs & Cats,49.27629015994012,-123.11607662108688,2024-02-05 19:08:06.754
