Building,Neighbourhood,Address,City,Listing,Bed,Bath,SqFt,Price,Unit Amenities,Building Amenities,Pets,Latitude,Longitude,Date
1501 Haro Street,West End Apartments,"1501 Haro St, Vancouver, BC V6G 1G4",Vancouver,2 Bedrooms,2 Bedrooms,"1 Full, 1 Half Bath",860 SQFT,"$3,781","Assigned Parking, Balcony, Dishwasher, On Site Laundry, Outdoor Space","Elevator, Garage Parking, On Site Laundry, Onsite Management, Storage, Swimming Pool",Dogs & Cats,49.28807699426087,-123.132178015981,2024-03-19 04:59:19.228
Santana,West End Apartments,"1251 Jervis St, Vancouver, BC V6E 2E1",Vancouver,00404,1 Bedrooms,1 Bathroom,537 SQFT,"$3,300","Balcony, Carpet, Dishwasher, Furnished, Hardwood Floor, In Unit Laundry, On Site Laundry","On Site Laundry, Onsite Management, Storage",No pets,49.28246845610967,-123.13559094573333,2024-03-19 04:59:19.228
Santana,West End Apartments,"1251 Jervis St, Vancouver, BC V6E 2E1",Vancouver,01203,1 Bedrooms,1 Bathroom,541 SQFT,"$3,795","Balcony, Carpet, Dishwasher, Furnished, Hardwood Floor, In Unit Laundry, On Site Laundry","On Site Laundry, Onsite Management, Storage",No pets,49.28246845610967,-123.13559094573333,2024-03-19 04:59:19.228
The Max ,Downtown Vancouver Apartments,"928 Beatty St, Vancouver, BC V6Z 3G6",Vancouver,Condos,Studios,1 Bathroom,443 SQFT,"$2,590","Air Conditioning, Assigned Parking, Carpet, Dishwasher, Furnished, Hardwood Floor, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Swimming Pool, Wheelchair Accessible",Dogs & Cats,49.27633375178051,-123.11575160111312,2024-03-19 04:59:19.228
The Max ,Downtown Vancouver Apartments,"928 Beatty St, Vancouver, BC V6Z 3G6",Vancouver,Condos,1 Bedrooms,1 Bathroom,510 SQFT,"$3,000","Air Conditioning, Assigned Parking, Carpet, Dishwasher, Furnished, Hardwood Floor, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Swimming Pool, Wheelchair Accessible",Dogs & Cats,49.27633375178051,-123.11575160111312,2024-03-19 04:59:19.228
2040 York,Kitsilano Apartments,"2040 York Ave, Vancouver, BC V6J 1E7",Vancouver,2040 York - Plan A,1 Bedrooms,1 Bathroom,524 SQFT,"$2,700","Balcony, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Elevator, On Site Laundry, Storage",Dogs & Cats,49.27156561428893,-123.15125856142572,2024-03-19 04:59:19.228
2040 York,Kitsilano Apartments,"2040 York Ave, Vancouver, BC V6J 1E7",Vancouver,2040 York - Plan C,1 Bedrooms,1 Bathroom,625 SQFT,"$2,899","Balcony, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Elevator, On Site Laundry, Storage",Dogs & Cats,49.27156561428893,-123.15125856142572,2024-03-19 04:59:19.228
The Mansion,West End Apartments,"1523 Davie St, Vancouver, BC V6G 3A2",Vancouver,Studios,Studios,1 Bathroom,525 SQFT,"$2,350",On Site Laundry,"On Site Laundry, Outdoor Space, Residents Lounge, Storage",No pets,49.28465928664995,-123.13766606532262,2024-03-19 04:59:19.228
The Mansion,West End Apartments,"1523 Davie St, Vancouver, BC V6G 3A2",Vancouver,2 Bedrooms,2 Bedrooms,2 Bathrooms,"1,048 SQFT","$4,495",On Site Laundry,"On Site Laundry, Outdoor Space, Residents Lounge, Storage",No pets,49.28465928664995,-123.13766606532262,2024-03-19 04:59:19.228
The Mansion,West End Apartments,"1523 Davie St, Vancouver, BC V6G 3A2",Vancouver,3 Bedrooms,3 Bedrooms,2 Bathrooms,"1,020 SQFT","$4,650",On Site Laundry,"On Site Laundry, Outdoor Space, Residents Lounge, Storage",No pets,49.28465928664995,-123.13766606532262,2024-03-19 04:59:19.228
ARIA,Oakridge Apartments,"488 41st Ave W, Vancouver, BC V5Y 2S7",Vancouver,1 Bed/1 Bath + Den + Patio (PET FRIENDLY),1 Bedrooms,1 Bathroom,588 SQFT,"$2,780","Assigned Parking, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Controlled Access, Elevator, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Storage, Wheelchair Accessible",Dogs & Cats,49.23337472305793,-123.11522050455984,2024-03-19 04:59:19.228
ARIA,Oakridge Apartments,"488 41st Ave W, Vancouver, BC V5Y 2S7",Vancouver,5th Floor 1 Bed + Den + Patio,1 Bedrooms,1 Bathroom,616 SQFT,"$2,900","Assigned Parking, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Controlled Access, Elevator, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Storage, Wheelchair Accessible",Dogs & Cats,49.23337472305793,-123.11522050455984,2024-03-19 04:59:19.228
Metropolitan Towers,Downtown Vancouver Apartments,"930 Seymour St, Vancouver, BC V6B 1B4",Vancouver,A2,Studios,1 Bathroom,437 SQFT,"$2,596","Dishwasher, In Unit Laundry, On Site Laundry",", Fitness Center, On Site Laundry, Outdoor Space, Package Service, Storage",Dogs & Cats,49.279327408229385,-123.12084038021528,2024-03-19 04:59:19.228
Metropolitan Towers,Downtown Vancouver Apartments,"930 Seymour St, Vancouver, BC V6B 1B4",Vancouver,C5B,1 Bedrooms,1 Bathroom,550 SQFT,"$3,030","Dishwasher, In Unit Laundry, On Site Laundry",", Fitness Center, On Site Laundry, Outdoor Space, Package Service, Storage",Dogs & Cats,49.279327408229385,-123.12084038021528,2024-03-19 04:59:19.228
Metropolitan Towers,Downtown Vancouver Apartments,"930 Seymour St, Vancouver, BC V6B 1B4",Vancouver,C2,1 Bedrooms,1 Bathroom,573 SQFT,"$3,110","Dishwasher, In Unit Laundry, On Site Laundry",", Fitness Center, On Site Laundry, Outdoor Space, Package Service, Storage",Dogs & Cats,49.279327408229385,-123.12084038021528,2024-03-19 04:59:19.228
Metropolitan Towers,Downtown Vancouver Apartments,"930 Seymour St, Vancouver, BC V6B 1B4",Vancouver,C8,1 Bedrooms,1 Bathroom,625 SQFT,"$3,145","Dishwasher, In Unit Laundry, On Site Laundry",", Fitness Center, On Site Laundry, Outdoor Space, Package Service, Storage",Dogs & Cats,49.279327408229385,-123.12084038021528,2024-03-19 04:59:19.228
Metropolitan Towers,Downtown Vancouver Apartments,"930 Seymour St, Vancouver, BC V6B 1B4",Vancouver,D5,1 Bedrooms,1 Bathroom,650 SQFT,"$3,221","Dishwasher, In Unit Laundry, On Site Laundry",", Fitness Center, On Site Laundry, Outdoor Space, Package Service, Storage",Dogs & Cats,49.279327408229385,-123.12084038021528,2024-03-19 04:59:19.228
Skyline,Fairview Apartments,"1305 12th Ave W, Vancouver, BC V6H 1M3",Vancouver,00405,Studios,1 Bathroom,500 SQFT,"$2,500","Balcony, Carpet, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space","Fitness Center, On Site Laundry, Onsite Management, Storage, Swimming Pool",No pets,49.26076492409972,-123.13400473849532,2024-03-19 04:59:19.228
Skyline,Fairview Apartments,"1305 12th Ave W, Vancouver, BC V6H 1M3",Vancouver,00305,Studios,1 Bathroom,500 SQFT,"$2,500","Balcony, Carpet, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space","Fitness Center, On Site Laundry, Onsite Management, Storage, Swimming Pool",No pets,49.26076492409972,-123.13400473849532,2024-03-19 04:59:19.228
Skyline,Fairview Apartments,"1305 12th Ave W, Vancouver, BC V6H 1M3",Vancouver,00505,1 Bedrooms,1 Bathroom,500 SQFT,"$2,500","Balcony, Carpet, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space","Fitness Center, On Site Laundry, Onsite Management, Storage, Swimming Pool",No pets,49.26076492409972,-123.13400473849532,2024-03-19 04:59:19.228
Skyline,Fairview Apartments,"1305 12th Ave W, Vancouver, BC V6H 1M3",Vancouver,00802,1 Bedrooms,1 Bathroom,670 SQFT,"$2,700","Balcony, Carpet, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry, Outdoor Space","Fitness Center, On Site Laundry, Onsite Management, Storage, Swimming Pool",No pets,49.26076492409972,-123.13400473849532,2024-03-19 04:59:19.228
Laurel,Marpole Apartments,"8605 Laurel St, Vancouver, BC V6P 0K4",Vancouver,321- 1 Bedroom,1 Bedrooms,1 Bathroom,450 SQFT,"$2,243",,,No pets,49.20836733449659,-123.1262451669594,2024-03-19 04:59:19.228
Laurel,Marpole Apartments,"8605 Laurel St, Vancouver, BC V6P 0K4",Vancouver,1 Bedroom,1 Bedrooms,1 Bathroom,450 SQFT,"$2,250",,,No pets,49.20836733449659,-123.1262451669594,2024-03-19 04:59:19.228
Laurel,Marpole Apartments,"8605 Laurel St, Vancouver, BC V6P 0K4",Vancouver,623-1 Bedroom,1 Bedrooms,1 Bathroom,450 SQFT,"$2,300",,,No pets,49.20836733449659,-123.1262451669594,2024-03-19 04:59:19.228
Laurel,Marpole Apartments,"8605 Laurel St, Vancouver, BC V6P 0K4",Vancouver,2 Bedroom,2 Bedrooms,"1 Full, 1 Half Bath",650 SQFT,"$2,900",,,No pets,49.20836733449659,-123.1262451669594,2024-03-19 04:59:19.228
Yaletown 939,Downtown Vancouver Apartments,"939 Beatty St, Vancouver, BC V6Z 3C1",Vancouver,A1,Studios,1 Bathroom,429 SQFT,"$2,586","Dishwasher, In Unit Laundry, On Site Laundry, Outdoor Space",", Fitness Center, On Site Laundry, Outdoor Space, Residents Lounge, Roof Deck, Swimming Pool",Dogs & Cats,49.27629015994012,-123.11607662108688,2024-03-19 04:59:19.228
Yaletown 939,Downtown Vancouver Apartments,"939 Beatty St, Vancouver, BC V6Z 3C1",Vancouver,C5,1 Bedrooms,1 Bathroom,521 SQFT,"$2,893","Dishwasher, In Unit Laundry, On Site Laundry, Outdoor Space",", Fitness Center, On Site Laundry, Outdoor Space, Residents Lounge, Roof Deck, Swimming Pool",Dogs & Cats,49.27629015994012,-123.11607662108688,2024-03-19 04:59:19.228
Yaletown 939,Downtown Vancouver Apartments,"939 Beatty St, Vancouver, BC V6Z 3C1",Vancouver,I1,2 Bedrooms,2 Bathrooms,733 SQFT,"$3,778","Dishwasher, In Unit Laundry, On Site Laundry, Outdoor Space",", Fitness Center, On Site Laundry, Outdoor Space, Residents Lounge, Roof Deck, Swimming Pool",Dogs & Cats,49.27629015994012,-123.11607662108688,2024-03-19 04:59:19.228
Dunway Court,Kitsilano Apartments,"3550 Broadway W, Vancouver, BC V6R 2B6",Vancouver,C1,1 Bedrooms,1 Bathroom,650 SQFT,"$2,918","Balcony, Dishwasher, In Unit Laundry",", Outdoor Space, Storage, Wheelchair Accessible",Dogs & Cats,49.26424743326991,-123.18283987275802,2024-03-19 04:59:19.228
Dunway Court,Kitsilano Apartments,"3550 Broadway W, Vancouver, BC V6R 2B6",Vancouver,C1,1 Bedrooms,1 Bathroom,650 SQFT,"$3,043","Balcony, Dishwasher, In Unit Laundry",", Outdoor Space, Storage, Wheelchair Accessible",Dogs & Cats,49.26424743326991,-123.18283987275802,2024-03-19 04:59:19.228
1355 West 14th,Fairview Apartments,"1355 14th Ave W, Vancouver, BC V6H 1R2",Vancouver,1355 West 14th - Plan A,2 Bedrooms,1 Bathroom,792 SQFT,"$3,323","Balcony, Dishwasher, Hardwood Floor, On Site Laundry","Elevator, On Site Laundry, Storage",Dogs & Cats,49.25891454941143,-123.13508787635013,2024-03-19 04:59:19.228
Zephyr,West End Apartments,"1661 Davie St, Vancouver, BC V6G 1W1",Vancouver,Studio,Studios,1 Bathroom,500 SQFT,"$2,750","Air Conditioning, Assigned Parking, Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,49.2859436857437,-123.13963124269634,2024-03-19 04:59:19.228
Zephyr,West End Apartments,"1661 Davie St, Vancouver, BC V6G 1W1",Vancouver,1 Bedroom,1 Bedrooms,1 Bathroom,550 SQFT,"$2,995","Air Conditioning, Assigned Parking, Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,49.2859436857437,-123.13963124269634,2024-03-19 04:59:19.228
Zephyr,West End Apartments,"1661 Davie St, Vancouver, BC V6G 1W1",Vancouver,2 Bedroom,2 Bedrooms,2 Bathrooms,918 SQFT,"$4,495","Air Conditioning, Assigned Parking, Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,49.2859436857437,-123.13963124269634,2024-03-19 04:59:19.228
Victoria Mews,Victoria,"1933 41st Ave E, Vancouver, BC V5P 4Y4",Vancouver,2-Bedroom 1-Bath,2 Bedrooms,1 Bathroom,786 SQFT,"$2,950","Assigned Parking, Balcony, Carpet, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Elevator, Garage Parking, On Site Laundry, Onsite Management, Storage",Cats,49.23272502062147,-123.06661463867698,2024-03-19 04:59:19.228
Victoria Mews,Victoria,"1933 41st Ave E, Vancouver, BC V5P 4Y4",Vancouver,2-Bedroom 1.5-Bath Unit With Den,2 Bedrooms,1 Bathroom,"1,227 SQFT","$3,650","Assigned Parking, Balcony, Carpet, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Elevator, Garage Parking, On Site Laundry, Onsite Management, Storage",Cats,49.23272502062147,-123.06661463867698,2024-03-19 04:59:19.228
Granville at 70th,Marpole Apartments,"8555 Granville St, Vancouver, BC V6P 0C3",Vancouver,Unit C307 - 1 Bed + Den,1 Bedrooms,1 Bathroom,473 SQFT,"$2,300","Assigned Parking, Balcony, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Storage",No pets,49.20920980468157,-123.14070650115082,2024-03-19 04:59:19.228
Granville at 70th,Marpole Apartments,"8555 Granville St, Vancouver, BC V6P 0C3",Vancouver,Unit C511 - 1 Bed + Den,1 Bedrooms,1 Bathroom,568 SQFT,"$2,595","Assigned Parking, Balcony, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Storage",No pets,49.20920980468157,-123.14070650115082,2024-03-19 04:59:19.228
1770 Pendrell by Westbank,West End Apartments,"1770 Pendrell St, Vancouver, BC V6G 0C5",Vancouver,Unit 505 - 1BR + 1BA + Balcony,Studios,1 Bathroom,440 SQFT,"$2,695","Air Conditioning, Assigned Parking, Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Storage",Dogs & Cats,49.28769494521273,-123.14047012854596,2024-03-19 04:59:19.228
1770 Pendrell by Westbank,West End Apartments,"1770 Pendrell St, Vancouver, BC V6G 0C5",Vancouver,Unit 1903 - 1BR + 1BA + Balcony,1 Bedrooms,1 Bathroom,650 SQFT,"$3,300","Air Conditioning, Assigned Parking, Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Storage",Dogs & Cats,49.28769494521273,-123.14047012854596,2024-03-19 04:59:19.228
1770 Pendrell by Westbank,West End Apartments,"1770 Pendrell St, Vancouver, BC V6G 0C5",Vancouver,Unit 101 - 2BR + 2BA + Balcony,2 Bedrooms,2 Bathrooms,820 SQFT,"$4,125","Air Conditioning, Assigned Parking, Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Storage",Dogs & Cats,49.28769494521273,-123.14047012854596,2024-03-19 04:59:19.228
1770 Pendrell by Westbank,West End Apartments,"1770 Pendrell St, Vancouver, BC V6G 0C5",Vancouver,Unit 1605 - 3BR + 2BA + Flex + Balcony,3 Bedrooms,2 Bathrooms,990 SQFT,"$4,995","Air Conditioning, Assigned Parking, Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Storage",Dogs & Cats,49.28769494521273,-123.14047012854596,2024-03-19 04:59:19.228
1360 Hornby Street,Downtown Vancouver Apartments,"1360 Hornby St, Vancouver, BC V6Z 1W5",Vancouver,Studio,Studios,1 Bathroom,448 SQFT,"$2,385—$2,441",On Site Laundry,"Elevator, On Site Laundry, Onsite Management",No pets,49.27675181228668,-123.1305258244942,2024-03-19 04:59:19.228
1360 Hornby Street,Downtown Vancouver Apartments,"1360 Hornby St, Vancouver, BC V6Z 1W5",Vancouver,1 Bedroom,1 Bedrooms,1 Bathroom,568 SQFT,"$2,678",On Site Laundry,"Elevator, On Site Laundry, Onsite Management",No pets,49.27675181228668,-123.1305258244942,2024-03-19 04:59:19.228
Rio Vista,Marpole Apartments,"1373 73rd Ave W, Vancouver, BC V6P 3E9",Vancouver,Rio Vista - Plan K (Jr. 1 Bed),1 Bedrooms,1 Bathroom,581 SQFT,"$1,938","Balcony, Dishwasher, Hardwood Floor, On Site Laundry","Elevator, On Site Laundry, Storage",Dogs & Cats,49.20487632885684,-123.13710578740928,2024-03-19 04:59:19.228
Rio Vista,Marpole Apartments,"1373 73rd Ave W, Vancouver, BC V6P 3E9",Vancouver,Rio Vista - Plan E,1 Bedrooms,1 Bathroom,636 SQFT,"$2,149","Balcony, Dishwasher, Hardwood Floor, On Site Laundry","Elevator, On Site Laundry, Storage",Dogs & Cats,49.20487632885684,-123.13710578740928,2024-03-19 04:59:19.228
Richards ,Downtown Vancouver Apartments,"510 Richards St, Vancouver, BC V6B None",Vancouver,A3- Studio 1 Bath,Studios,1 Bathroom,420 SQFT,"$2,350","In Unit Laundry, On Site Laundry","Controlled Access, Elevator, Fitness Center, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,49.28307300335392,-123.1132789494184,2024-03-19 04:59:19.228
Richards ,Downtown Vancouver Apartments,"510 Richards St, Vancouver, BC V6B None",Vancouver,A- Studio 1 Bath,Studios,1 Bathroom,480 SQFT,"$2,650","In Unit Laundry, On Site Laundry","Controlled Access, Elevator, Fitness Center, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,49.28307300335392,-123.1132789494184,2024-03-19 04:59:19.228
Richards ,Downtown Vancouver Apartments,"510 Richards St, Vancouver, BC V6B None",Vancouver,D- 2BD 2BTH Flex,2 Bedrooms,2 Bathrooms,750 SQFT,"$4,500","In Unit Laundry, On Site Laundry","Controlled Access, Elevator, Fitness Center, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,49.28307300335392,-123.1132789494184,2024-03-19 04:59:19.228
Richards ,Downtown Vancouver Apartments,"510 Richards St, Vancouver, BC V6B None",Vancouver,C- 2BD 2BTH,2 Bedrooms,2 Bathrooms,810 SQFT,"$4,880","In Unit Laundry, On Site Laundry","Controlled Access, Elevator, Fitness Center, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,49.28307300335392,-123.1132789494184,2024-03-19 04:59:19.228
Fraser Flats Apartments,Killarney Apartments,"3688 3618-3688 Sawmill Crescent, Vancouver, BC V5S 0E6",Vancouver,"1 Bdrm available at 3618-3688 Sawmill Crescent, Vancouver",1 Bedrooms,1 Bathroom,586 SQFT,"$2,395","Assigned Parking, Balcony, Dishwasher, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Storage",Dogs & Cats,49.206212796012124,-123.02454438634636,2024-03-19 04:59:19.228
Fraser Flats Apartments,Killarney Apartments,"3688 3618-3688 Sawmill Crescent, Vancouver, BC V5S 0E6",Vancouver,"2 Bdrm available at 3618-3688 Sawmill Crescent, Vancouver",2 Bedrooms,1 Bathroom,992 SQFT,"$3,080","Assigned Parking, Balcony, Dishwasher, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Storage",Dogs & Cats,49.206212796012124,-123.02454438634636,2024-03-19 04:59:19.228
The Glenmore,West End Apartments,"1885 Barclay St, Vancouver, BC V6G 1K7",Vancouver,The Glenmore - Plan E,1 Bedrooms,1 Bathroom,423 SQFT,"$2,299","Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Elevator, On Site Laundry, Storage",Dogs & Cats,49.2909633280581,-123.13881341523404,2024-03-19 04:59:19.228
The Glenmore,West End Apartments,"1885 Barclay St, Vancouver, BC V6G 1K7",Vancouver,The Glenmore - Plan F (Jr. 1 Bed),1 Bedrooms,1 Bathroom,423 SQFT,"$2,349","Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Elevator, On Site Laundry, Storage",Dogs & Cats,49.2909633280581,-123.13881341523404,2024-03-19 04:59:19.228
Barafield,West End Apartments,"1260 Harwood St, Vancouver, BC V6E 1S4",Vancouver,00514,1 Bedrooms,1 Bathroom,456 SQFT,"$2,400","Balcony, Carpet, Dishwasher, Furnished, Hardwood Floor, On Site Laundry","On Site Laundry, Onsite Management",No pets,49.28092139621007,-123.13648301385862,2024-03-19 04:59:19.228
Barafield,West End Apartments,"1260 Harwood St, Vancouver, BC V6E 1S4",Vancouver,00312,1 Bedrooms,1 Bathroom,465 SQFT,"$2,750","Balcony, Carpet, Dishwasher, Furnished, Hardwood Floor, On Site Laundry","On Site Laundry, Onsite Management",No pets,49.28092139621007,-123.13648301385862,2024-03-19 04:59:19.228
Barafield,West End Apartments,"1260 Harwood St, Vancouver, BC V6E 1S4",Vancouver,00403,1 Bedrooms,1 Bathroom,462 SQFT,"$2,750","Balcony, Carpet, Dishwasher, Furnished, Hardwood Floor, On Site Laundry","On Site Laundry, Onsite Management",No pets,49.28092139621007,-123.13648301385862,2024-03-19 04:59:19.228
Barafield,West End Apartments,"1260 Harwood St, Vancouver, BC V6E 1S4",Vancouver,00714,1 Bedrooms,1 Bathroom,456 SQFT,"$2,750","Balcony, Carpet, Dishwasher, Furnished, Hardwood Floor, On Site Laundry","On Site Laundry, Onsite Management",No pets,49.28092139621007,-123.13648301385862,2024-03-19 04:59:19.228
Barafield,West End Apartments,"1260 Harwood St, Vancouver, BC V6E 1S4",Vancouver,00218,2 Bedrooms,1 Bathroom,620 SQFT,"$3,495","Balcony, Carpet, Dishwasher, Furnished, Hardwood Floor, On Site Laundry","On Site Laundry, Onsite Management",No pets,49.28092139621007,-123.13648301385862,2024-03-19 04:59:19.228
