Building,Neighbourhood,Address,City,Listing,Bed,Bath,SqFt,Price,Unit Amenities,Building Amenities,Pets,Latitude,Longitude,Date
55 Water Street,Downtown Vancouver Apartments,"55 Water St, Vancouver, BC V6B 1A1",Vancouver,Massive 1 bedroom unit,1 Bedrooms,1 Bathroom,970 SQFT,"$3,200","Assigned Parking, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Residents Lounge, Storage, Wheelchair Accessible",No pets,49.283797381544346,-123.10550268075978,2024-03-19 04:59:19.228
55 Water Street,Downtown Vancouver Apartments,"55 Water St, Vancouver, BC V6B 1A1",Vancouver,Massive 2 bedroom unit,2 Bedrooms,2 Bathrooms,"1,997 SQFT","$6,900","Assigned Parking, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Residents Lounge, Storage, Wheelchair Accessible",No pets,49.283797381544346,-123.10550268075978,2024-03-19 04:59:19.228
1188 Bidwell,West End Apartments,"1188 Bidwell St, Vancouver, BC V6G 0C6",Vancouver,One bedroom Unit with massive patio,1 Bedrooms,1 Bathroom,630 SQFT,"$2,995","Assigned Parking, Central Heat, Dishwasher, Furnished, Hardwood Floor, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Outdoor Space, Residents Lounge, Roof Deck, Storage, Wheelchair Accessible",Dogs & Cats,49.2862731461713,-123.14007661525744,2024-03-19 04:59:19.228
1188 Bidwell,West End Apartments,"1188 Bidwell St, Vancouver, BC V6G 0C6",Vancouver,Modern One bedroom Unit + Flex space,1 Bedrooms,1 Bathroom,604 SQFT,"$3,200","Assigned Parking, Central Heat, Dishwasher, Furnished, Hardwood Floor, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Outdoor Space, Residents Lounge, Roof Deck, Storage, Wheelchair Accessible",Dogs & Cats,49.2862731461713,-123.14007661525744,2024-03-19 04:59:19.228
1188 Bidwell,West End Apartments,"1188 Bidwell St, Vancouver, BC V6G 0C6",Vancouver,PENTHOUSE WITH BREATHTAKING VIEW AND FREE PARKING,2 Bedrooms,2 Bathrooms,"1,100 SQFT","$6,700","Assigned Parking, Central Heat, Dishwasher, Furnished, Hardwood Floor, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Outdoor Space, Residents Lounge, Roof Deck, Storage, Wheelchair Accessible",Dogs & Cats,49.2862731461713,-123.14007661525744,2024-03-19 04:59:19.228
5815 Yew Street,Kerrisdale Apartments,"5815 Yew St, Vancouver, BC V6M 3Y6",Vancouver,Vancouver Bachelor,Studios,1 Bathroom,482 SQFT,"$2,642","Assigned Parking, Balcony, Dishwasher, Hardwood Floor, On Site Laundry, Oven","Elevator, Garage Parking, On Site Laundry, Onsite Management, Storage",Dogs & Cats,49.23332523855991,-123.15863758314504,2024-03-19 04:59:19.228
5815 Yew Street,Kerrisdale Apartments,"5815 Yew St, Vancouver, BC V6M 3Y6",Vancouver,Vancouver 1 Bedroom,1 Bedrooms,1 Bathroom,655 SQFT,"$2,779","Assigned Parking, Balcony, Dishwasher, Hardwood Floor, On Site Laundry, Oven","Elevator, Garage Parking, On Site Laundry, Onsite Management, Storage",Dogs & Cats,49.23332523855991,-123.15863758314504,2024-03-19 04:59:19.228
1265 Cardero Street,West End Apartments,"1265 Cardero St, Vancouver, BC V6G 2J2",Vancouver,1 Bedroom,1 Bedrooms,1 Bathroom,756 SQFT,"$2,704—$2,714",On Site Laundry,"On Site Laundry, Onsite Management, Storage",No pets,49.28438237968115,-123.14004853285454,2024-03-19 04:59:19.228
1265 Cardero Street,West End Apartments,"1265 Cardero St, Vancouver, BC V6G 2J2",Vancouver,2 Bedroom,2 Bedrooms,1 Bathroom,933 SQFT,"$3,349—$3,749",On Site Laundry,"On Site Laundry, Onsite Management, Storage",No pets,49.28438237968115,-123.14004853285454,2024-03-19 04:59:19.228
1501 Haro Street,West End Apartments,"1501 Haro St, Vancouver, BC V6G 1G4",Vancouver,1 Bedroom,1 Bedrooms,1 Bathroom,432 SQFT,"$2,613","Assigned Parking, Balcony, Dishwasher, On Site Laundry, Outdoor Space","Elevator, Garage Parking, On Site Laundry, Onsite Management, Storage, Swimming Pool",Dogs & Cats,49.28807699426087,-123.132178015981,2024-03-19 04:59:19.228
