Building,Address,Listing,Bed,Bath,SqFt,Price,Unit Amenities,Building Amenities,Pets,Latitude,Longitude
Valleyview Towers,"2980 Don Mills Rd W, Toronto, ON M2J 3B9",2 Bedroom,2 Bedrooms,1 Bathroom,880 SQFT,"$2,900",,,Dogs & Cats,43.78159847681806,-79.35216737190679
Balfour Square,"50 Rosehill Ave, Toronto, ON M4T 1G6",Bachelor,Studios,1 Bathroom,520 SQFT,"$2,315","Air Conditioning, Assigned Parking, Balcony, Dishwasher, Hardwood Floor, On Site Laundry",", Elevator, Garage Parking, On Site Laundry, Swimming Pool",Dogs & Cats,43.68670980533935,-79.3913454182164
Balfour Square,"50 Rosehill Ave, Toronto, ON M4T 1G6",1 Bedroom,1 Bedrooms,1 Bathroom,785 SQFT,"$2,575","Air Conditioning, Assigned Parking, Balcony, Dishwasher, Hardwood Floor, On Site Laundry",", Elevator, Garage Parking, On Site Laundry, Swimming Pool",Dogs & Cats,43.68670980533935,-79.3913454182164
356 ,"358 Walmer Rd, Toronto, ON M5R 2Y4",356-1,2 Bedrooms,1 Bathroom,,"$3,500",,,Dogs & Cats,43.68064751183451,-79.41124027993612
356 ,"358 Walmer Rd, Toronto, ON M5R 2Y4",358-1,2 Bedrooms,1 Bathroom,,"$3,500",,,Dogs & Cats,43.68064751183451,-79.41124027993612
356 ,"358 Walmer Rd, Toronto, ON M5R 2Y4",358-4,2 Bedrooms,1 Bathroom,,"$3,950",,,Dogs & Cats,43.68064751183451,-79.41124027993612
The Scotch Elms,"12 Auburndale Crt, Toronto, ON M9W 3T9","4 Bedrooms, 2.5 Bathrooms",4 Bedrooms,"2 Full, 1 Half Bath","1,656 SQFT","$3,525","Air Conditioning, Assigned Parking, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Garage Parking, On Site Laundry, Onsite Management, Outdoor Space",Dogs & Cats,43.718690249579325,-79.55487490066703
Fontainebleu,"130 Rosedale Valley Rd, Toronto, ON M4W 1P9",Bachelor,Studios,1 Bathroom,470 SQFT,"$2,225","Assigned Parking, Balcony, On Site Laundry",", Elevator, On Site Laundry",Dogs & Cats,43.67373317018028,-79.3854178135668
225 Van Horne Apartments,"225 Van Horne Ave, Toronto, ON M2J 2T9",2 Bedroom,2 Bedrooms,1 Bathroom,812 SQFT,"$2,825","Assigned Parking, Balcony, On Site Laundry","Elevator, Garage Parking, On Site Laundry, Swimming Pool",Dogs & Cats,43.78749864565828,-79.3520068996207
36 Castle Frank Road,"36 Castle Frank Rd, Toronto, ON M4W 2Z7",2 Bedroom - unit 308,2 Bedrooms,1 Bathroom,872 SQFT,"$3,350","Air Conditioning, Balcony, Dishwasher, On Site Laundry","Controlled Access, On Site Laundry",Dogs & Cats,43.67671567786454,-79.37032067178616
