Building,Address,Listing,Bed,Bath,SqFt,Price,Unit Amenities,Building Amenities,Pets,Latitude,Longitude
Novus,"25 Ordnance St, Toronto, ON M6K 0E9",Penthouse 09,1 Bedrooms,"1 Full, 1 Half Bath",543 SQFT,"$2,900","Air Conditioning, Balcony, Central Heat, Dishwasher, In Unit Laundry, On Site Laundry, Walk In Closets","Elevator, Fitness Center, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,43.63936814857994,-79.40982377982922
Novus,"25 Ordnance St, Toronto, ON M6K 0E9",Penthouse 05,1 Bedrooms,1 Bathroom,521 SQFT,"$2,970","Air Conditioning, Balcony, Central Heat, Dishwasher, In Unit Laundry, On Site Laundry, Walk In Closets","Elevator, Fitness Center, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,43.63936814857994,-79.40982377982922
Novus,"25 Ordnance St, Toronto, ON M6K 0E9",Residence 19,2 Bedrooms,2 Bathrooms,777 SQFT,"$3,295—$3,700","Air Conditioning, Balcony, Central Heat, Dishwasher, In Unit Laundry, On Site Laundry, Walk In Closets","Elevator, Fitness Center, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,43.63936814857994,-79.40982377982922
Novus,"25 Ordnance St, Toronto, ON M6K 0E9",Residence 15,2 Bedrooms,2 Bathrooms,677 SQFT,"$3,300—$3,330","Air Conditioning, Balcony, Central Heat, Dishwasher, In Unit Laundry, On Site Laundry, Walk In Closets","Elevator, Fitness Center, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,43.63936814857994,-79.40982377982922
Novus,"25 Ordnance St, Toronto, ON M6K 0E9",Residence 14,2 Bedrooms,1 Bathroom,665 SQFT,"$3,325—$3,495","Air Conditioning, Balcony, Central Heat, Dishwasher, In Unit Laundry, On Site Laundry, Walk In Closets","Elevator, Fitness Center, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,43.63936814857994,-79.40982377982922
Novus,"25 Ordnance St, Toronto, ON M6K 0E9",Residence 22,2 Bedrooms,2 Bathrooms,856 SQFT,"$3,375—$3,695","Air Conditioning, Balcony, Central Heat, Dishwasher, In Unit Laundry, On Site Laundry, Walk In Closets","Elevator, Fitness Center, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,43.63936814857994,-79.40982377982922
Novus,"25 Ordnance St, Toronto, ON M6K 0E9",Residence 16,2 Bedrooms,2 Bathrooms,711 SQFT,"$3,420—$3,450","Air Conditioning, Balcony, Central Heat, Dishwasher, In Unit Laundry, On Site Laundry, Walk In Closets","Elevator, Fitness Center, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,43.63936814857994,-79.40982377982922
Novus,"25 Ordnance St, Toronto, ON M6K 0E9",Residence 18,2 Bedrooms,2 Bathrooms,776 SQFT,"$3,450","Air Conditioning, Balcony, Central Heat, Dishwasher, In Unit Laundry, On Site Laundry, Walk In Closets","Elevator, Fitness Center, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,43.63936814857994,-79.40982377982922
Novus,"25 Ordnance St, Toronto, ON M6K 0E9",Residence 17,2 Bedrooms,2 Bathrooms,746 SQFT,"$3,550","Air Conditioning, Balcony, Central Heat, Dishwasher, In Unit Laundry, On Site Laundry, Walk In Closets","Elevator, Fitness Center, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,43.63936814857994,-79.40982377982922
Novus,"25 Ordnance St, Toronto, ON M6K 0E9",Residence 21,2 Bedrooms,2 Bathrooms,798 SQFT,"$3,550—$3,900","Air Conditioning, Balcony, Central Heat, Dishwasher, In Unit Laundry, On Site Laundry, Walk In Closets","Elevator, Fitness Center, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,43.63936814857994,-79.40982377982922
Novus,"25 Ordnance St, Toronto, ON M6K 0E9",Residence 20,2 Bedrooms,2 Bathrooms,790 SQFT,"$3,740—$4,000","Air Conditioning, Balcony, Central Heat, Dishwasher, In Unit Laundry, On Site Laundry, Walk In Closets","Elevator, Fitness Center, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,43.63936814857994,-79.40982377982922
Novus,"25 Ordnance St, Toronto, ON M6K 0E9",Penthouse 19,2 Bedrooms,2 Bathrooms,777 SQFT,"$3,795","Air Conditioning, Balcony, Central Heat, Dishwasher, In Unit Laundry, On Site Laundry, Walk In Closets","Elevator, Fitness Center, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,43.63936814857994,-79.40982377982922
Novus,"25 Ordnance St, Toronto, ON M6K 0E9",Club Floor 27,2 Bedrooms,2 Bathrooms,976 SQFT,"$4,250","Air Conditioning, Balcony, Central Heat, Dishwasher, In Unit Laundry, On Site Laundry, Walk In Closets","Elevator, Fitness Center, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,43.63936814857994,-79.40982377982922
Novus,"25 Ordnance St, Toronto, ON M6K 0E9",Club Floor 24,2 Bedrooms,2 Bathrooms,921 SQFT,"$4,300","Air Conditioning, Balcony, Central Heat, Dishwasher, In Unit Laundry, On Site Laundry, Walk In Closets","Elevator, Fitness Center, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,43.63936814857994,-79.40982377982922
Novus,"25 Ordnance St, Toronto, ON M6K 0E9",City Home 11,3 Bedrooms,"3 Full, 1 Half Bath","1,287 SQFT","$5,500","Air Conditioning, Balcony, Central Heat, Dishwasher, In Unit Laundry, On Site Laundry, Walk In Closets","Elevator, Fitness Center, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,43.63936814857994,-79.40982377982922
Novus,"25 Ordnance St, Toronto, ON M6K 0E9",City Home 16,3 Bedrooms,"3 Full, 1 Half Bath","1,722 SQFT","$5,595","Air Conditioning, Balcony, Central Heat, Dishwasher, In Unit Laundry, On Site Laundry, Walk In Closets","Elevator, Fitness Center, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,43.63936814857994,-79.40982377982922
Ten93 Queen West Condo ,"106 Dovercourt Rd, Toronto, ON M6J 0G4",Condo,2 Bedrooms,2 Bathrooms,840 SQFT,"$3,450",Air Conditioning,"Elevator, Fitness Center",No pets,43.64318308077285,-79.42237654932711
2360 Weston Rd,"2360 Weston Rd, Toronto, ON M9N 1Y9",1 Bedroom,1 Bedrooms,1 Bathroom,643 SQFT,"$2,306",,,Dogs & Cats,43.70610434921802,-79.53161741181509
2220 Weston Rd,"2220 Weston Rd, Toronto, ON M9N 1Y6",1 Bedroom,1 Bedrooms,1 Bathroom,613 SQFT,"$2,387",,,Dogs & Cats,43.70385289115432,-79.52714125753702
Apartment for rent at 30 Fontenay Court,"30 Fontenay Crt, Toronto, ON M9A 4W5",Three Bedroom Apartment,3 Bedrooms,1 Bathroom,"1,100 SQFT","$2,850","Assigned Parking, On Site Laundry","Elevator, Garage Parking, On Site Laundry",No pets,43.68257,-79.51165
Apartment for rent at  2 Triburnham Place,"2 Triburnham Pl, Toronto, ON M9C 3P4",One Bedroom Apartment,1 Bedrooms,1 Bathroom,850 SQFT,"$2,200","Assigned Parking, Balcony, On Site Laundry, Walk In Closets","Elevator, Fitness Center, On Site Laundry, Onsite Management, Storage, Wheelchair Accessible",Dogs & Cats,43.64297330467885,-79.57792125053727
Apartment for rent at  2 Triburnham Place,"2 Triburnham Pl, Toronto, ON M9C 3P4",Two Bedroom Apartment,2 Bedrooms,1 Bathroom,980 SQFT,"$2,650","Assigned Parking, Balcony, On Site Laundry, Walk In Closets","Elevator, Fitness Center, On Site Laundry, Onsite Management, Storage, Wheelchair Accessible",Dogs & Cats,43.64297330467885,-79.57792125053727
West Park Village Apartments,"10 Blackfriar Ave, Toronto, ON M9R 3S4","1 Bdrm - 10 Blackfriar Ave., 186 Kingsview Blvd., 15 & 55 Bridesburg Dr.",1 Bedrooms,1 Bathroom,737 SQFT,"$2,395","Air Conditioning, Assigned Parking, Balcony, On Site Laundry","Elevator, Garage Parking, On Site Laundry",Dogs & Cats,43.69408560556186,-79.56201438271162
West Park Village Apartments,"10 Blackfriar Ave, Toronto, ON M9R 3S4","3 Bdrm - 10 Blackfriar Ave., 186 Kingsview Blvd., 15 & 55 Bridesburg Dr.",3 Bedrooms,1 Bathroom,"1,062 SQFT","$3,165","Air Conditioning, Assigned Parking, Balcony, On Site Laundry","Elevator, Garage Parking, On Site Laundry",Dogs & Cats,43.69408560556186,-79.56201438271162
Islington Terrace ,"7 Mabelle Ave, Toronto, ON M9A 0C9",Condo,2 Bedrooms,2 Bathrooms,700 SQFT,"$2,900",,,No pets,43.64687643077998,-79.5257963835251
South Beach Condos and Lofts II ,"90 Park Lawn Rd, Toronto, ON M8Y 0B6",Condo,2 Bedrooms,2 Bathrooms,"1,208 SQFT","$3,650",,,No pets,43.62482385062005,-79.4849919052889
3434 Eglinton Avenue,"3434 Eglinton Ave E, Toronto, ON M1J 2J1",Scarborough 2 Bedroom,2 Bedrooms,1 Bathroom,994 SQFT,"$2,699","Assigned Parking, Balcony, On Site Laundry","Elevator, Garage Parking, On Site Laundry, Onsite Management, Storage",Dogs & Cats,43.74477624766011,-79.2119494158396
130 Raglan Avenue,"130 Raglan Ave, Toronto, ON M6C 0A7",2 Bedroom,2 Bedrooms,1 Bathroom,"1,101 SQFT","$3,899","Hardwood Floor, In Unit Laundry, On Site Laundry",On Site Laundry,Dogs & Cats,43.6872493488072,-79.42138171862133
Alter ,"89 Mcgill St, Toronto, ON M5B 0B1",Condo,1 Bedrooms,1 Bathroom,569 SQFT,"$2,600",Air Conditioning,"Concierge Service, Elevator, Fitness Center, Residents Lounge, Swimming Pool",No pets,43.66062673016519,-79.37871293657902
4001,"4005 Gates Of Bayview, Toronto, ON M2M 3Z9",2 bdrm den. 2 baths with wash&D,2 Bedrooms,"1 Full, 1 Half Bath","1,141 SQFT","$3,632—$3,852","Air Conditioning, Dishwasher, Hardwood Floor, On Site Laundry","Fitness Center, On Site Laundry, Onsite Management, Outdoor Space, Roof Deck, Storage, Swimming Pool",Dogs & Cats,43.80243734600924,-79.39586946944644
4001,"4005 Gates Of Bayview, Toronto, ON M2M 3Z9",3 bdrm,3 Bedrooms,1 Bathroom,"1,329 SQFT","$4,047—$4,197","Air Conditioning, Dishwasher, Hardwood Floor, On Site Laundry","Fitness Center, On Site Laundry, Onsite Management, Outdoor Space, Roof Deck, Storage, Swimming Pool",Dogs & Cats,43.80243734600924,-79.39586946944644
Promenade Gardens,"301 Dixon Rd, Toronto, ON M9R 1S2",1 Bedroom Den,1 Bedrooms,1 Bathroom,783 SQFT,"$2,435—$2,499","Hardwood Floor, On Site Laundry","Elevator, On Site Laundry, Wheelchair Accessible",No pets,43.69561309989823,-79.55275914567649
Promenade Gardens,"301 Dixon Rd, Toronto, ON M9R 1S2",2 Bedroom,2 Bedrooms,1 Bathroom,"1,110 SQFT","$3,117","Hardwood Floor, On Site Laundry","Elevator, On Site Laundry, Wheelchair Accessible",No pets,43.69561309989823,-79.55275914567649
66 Spadina Road,"66 Spadina Rd, Toronto, ON M5R 2T4",1 Bedroom,1 Bedrooms,1 Bathroom,595 SQFT,"$2,499—$2,718","Balcony, Dishwasher, On Site Laundry","Elevator, Fitness Center, On Site Laundry",Dogs & Cats,43.67021638373112,-79.40535712523447
Eighty One Wellesley ,"81 Wellesley St E, Toronto, ON M4Y 0C5",Condo,1 Bedrooms,1 Bathroom,510 SQFT,"$2,300",,,No pets,43.66578027973501,-79.38031470311459
Unit 5 ,"197 Hallam St, Toronto, ON M6H 1X6",5,2 Bedrooms,2 Bathrooms,800 SQFT,"$3,350",,,Dogs & Cats,43.66652797646215,-79.43432440010515
898 Jane Street,"898 Jane St, Toronto, ON M6N 4C5",1 Bedroom,1 Bedrooms,1 Bathroom,,"$2,199","Assigned Parking, On Site Laundry","Elevator, On Site Laundry",No pets,43.67791614713608,-79.49649662845545
Northview Terrace Apartments,"2515 Bathurst St, Toronto, ON M6B 2Z1",ONE BEDROOM,1 Bedrooms,1 Bathroom,700 SQFT,"$2,300","Assigned Parking, Hardwood Floor, On Site Laundry","Controlled Access, Elevator, Garage Parking, On Site Laundry, Onsite Management, Wheelchair Accessible",Dogs & Cats,43.70559755108905,-79.42639154460164
Northview Terrace Apartments,"2515 Bathurst St, Toronto, ON M6B 2Z1",Renovated 1 Bedroom,1 Bedrooms,1 Bathroom,790 SQFT,"$2,750","Assigned Parking, Hardwood Floor, On Site Laundry","Controlled Access, Elevator, Garage Parking, On Site Laundry, Onsite Management, Wheelchair Accessible",Dogs & Cats,43.70559755108905,-79.42639154460164
Alto,"1544 Dundas St W, Toronto, ON M6K 0C2",One Bedroom,1 Bedrooms,1 Bathroom,573 SQFT,"$2,450—$2,545","Air Conditioning, Assigned Parking, Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Residents Lounge",Dogs & Cats,43.64982786240234,-79.4334053458317
Alto,"1544 Dundas St W, Toronto, ON M6K 0C2",Two Bedroom,2 Bedrooms,1 Bathroom,775 SQFT,"$2,850","Air Conditioning, Assigned Parking, Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Residents Lounge",Dogs & Cats,43.64982786240234,-79.4334053458317
Oben Flats ,"1075 Queen St E, Toronto, ON M4M 0C1",Suite 2B,2 Bedrooms,2 Bathrooms,854 SQFT,"$3,400",,,Dogs & Cats,43.6617849737019,-79.33651192820548
Oben Flats ,"1075 Queen St E, Toronto, ON M4M 0C1",Suite 2A,2 Bedrooms,2 Bathrooms,926 SQFT,"$3,500",,,Dogs & Cats,43.6617849737019,-79.33651192820548
BRANT PARK LOFTS,"39 Brant St, Toronto, ON M5V 0M8",STUDIO,Studios,1 Bathroom,,"$2,295",,,No pets,43.646534750105054,-79.39816521761499
Garrison Point,"50 Residential Condo, Toronto, ON M6K 0C9",One plus den,1 Bedrooms,1 Bathroom,625 SQFT,"$2,400","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Roof Deck, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.639505365326535,-79.4097609834554
Garrison Point,"50 Residential Condo, Toronto, ON M6K 0C9",One Bedroom,1 Bedrooms,1 Bathroom,601 SQFT,"$2,600","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Roof Deck, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.639505365326535,-79.4097609834554
Garrison Point,"50 Residential Condo, Toronto, ON M6K 0C9",one plus den.2 bath no parking,1 Bedrooms,2 Bathrooms,630 SQFT,"$2,800","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Roof Deck, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.639505365326535,-79.4097609834554
Garrison Point,"50 Residential Condo, Toronto, ON M6K 0C9",1 plus den 2 bath,1 Bedrooms,2 Bathrooms,650 SQFT,"$2,800","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Roof Deck, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.639505365326535,-79.4097609834554
Garrison Point,"50 Residential Condo, Toronto, ON M6K 0C9",1 plus den terrace parking,1 Bedrooms,1 Bathroom,650 SQFT,"$3,200","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Roof Deck, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.639505365326535,-79.4097609834554
Garrison Point,"50 Residential Condo, Toronto, ON M6K 0C9",2 bed 2 bath no prking,2 Bedrooms,2 Bathrooms,740 SQFT,"$3,300","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Roof Deck, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.639505365326535,-79.4097609834554
Garrison Point,"50 Residential Condo, Toronto, ON M6K 0C9",2 ned 2 bath parking,2 Bedrooms,2 Bathrooms,700 SQFT,"$3,300","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Roof Deck, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.639505365326535,-79.4097609834554
Garrison Point,"50 Residential Condo, Toronto, ON M6K 0C9",1612 2 bed 2 bath,2 Bedrooms,2 Bathrooms,740 SQFT,"$3,300","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Roof Deck, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.639505365326535,-79.4097609834554
Garrison Point,"50 Residential Condo, Toronto, ON M6K 0C9",2 plus den parking furnished,2 Bedrooms,2 Bathrooms,870 SQFT,"$4,203","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Roof Deck, Swimming Pool, Wheelchair Accessible",Dogs & Cats,43.639505365326535,-79.4097609834554
Rosedale Ravine Apartments,"4 Sherbourne St N, Toronto, ON M4W 2T1",1A,2 Bedrooms,1 Bathroom,950 SQFT,"$3,150",On Site Laundry,"Elevator, On Site Laundry, Storage",Dogs & Cats,43.67409848640545,-79.37755179744435
68 Hillside Dr,"68 Hillside Dr, Toronto, ON M4K 2M4",Jr. 1 Bedroom,1 Bedrooms,1 Bathroom,685 SQFT,"$2,420","Dishwasher, On Site Laundry","Controlled Access, On Site Laundry, Onsite Management",Dogs & Cats,43.68966033051059,-79.35652741920715
2029,"2055 2029-2055 Victoria Park Ave., Toronto, ON M1R 1V4",3 Bedroom TH,3 Bedrooms,1 Bathroom,"1,062 SQFT","$3,879","Assigned Parking, Dishwasher, In Unit Laundry, On Site Laundry","On Site Laundry, Outdoor Space, Wheelchair Accessible",Dogs & Cats,43.75554092765804,-79.31435580474226
2892 St,"2892 St Clair Ave E, Toronto, ON M4B 1N6",1 Bedroom,1 Bedrooms,1 Bathroom,,"$2,139",On Site Laundry,"Elevator, On Site Laundry, Onsite Management",Dogs & Cats,43.7078331349475,-79.30229360965035
2892 St,"2892 St Clair Ave E, Toronto, ON M4B 1N6",2 Bedroom,2 Bedrooms,1 Bathroom,,"$2,599",On Site Laundry,"Elevator, On Site Laundry, Onsite Management",Dogs & Cats,43.7078331349475,-79.30229360965035
1264 York Mills Rd,"1264 York Mills Rd, Toronto, ON M3A 1Y9",2 Bedrooms,2 Bedrooms,1 Bathroom,850 SQFT,"$2,899",,,Dogs & Cats,43.76080658960083,-79.32746803925681
45 Forty Second St,"45 Forty Second St, Toronto, ON M8W 3P4",1 Bedroom,1 Bedrooms,1 Bathroom,635 SQFT,"$2,529","Air Conditioning, Assigned Parking, Balcony, Central Heat, Dishwasher, On Site Laundry","Controlled Access, Elevator, Garage Parking, On Site Laundry, Onsite Management, Storage",Dogs & Cats,43.58812523954744,-79.54289932801807
Two St,"2 Saint Thomas St, Toronto, ON M5S 2Z1",Residence 1,1 Bedrooms,1 Bathroom,485 SQFT,"$2,780","Air Conditioning, Assigned Parking, Balcony, Central Heat, Fireplace","Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, Onsite Management, Outdoor Space, Storage, Wheelchair Accessible",Dogs & Cats,43.66795792229867,-79.39050461400166
Two St,"2 Saint Thomas St, Toronto, ON M5S 2Z1",Residence 17,2 Bedrooms,1 Bathroom,786 SQFT,"$3,800","Air Conditioning, Assigned Parking, Balcony, Central Heat, Fireplace","Concierge Service, Controlled Access, Elevator, Fitness Center, Garage Parking, Onsite Management, Outdoor Space, Storage, Wheelchair Accessible",Dogs & Cats,43.66795792229867,-79.39050461400166
